state,act_v_name_heat_cop
AL,1.009524862
AR,0.973266428
AZ,1.088899439
CA,1.104669568
CO,0.770125885
CT,0.781479394
DC,0.966298255
DE,0.923915096
FL,1.155562069
GA,1.036400386
IA,0.664225084
ID,0.864462036
IL,0.774863231
IN,0.787266046
KS,0.841538979
KY,0.86293299
LA,1.067443206
MA,0.775528648
MD,0.920670829
ME,0.666159665
MI,0.703738417
MN,0.574007013
MO,0.855682712
MS,1.009110811
MT,0.708752026
NC,0.961707328
ND,0.54700278
NE,0.716070846
NH,0.737896155
NJ,0.884896025
NM,0.962992389
NV,1.006912658
NY,0.731010317
OH,0.782546921
OK,0.971737842
OR,1.01449159
PA,0.790413626
RI,0.801185843
SC,1.033497731
SD,0.612459186
TN,0.925748287
TX,1.057030404
UT,0.880803327
VA,0.912692148
VT,0.635168883
WA,0.949407638
WI,0.637241634
WV,0.800370042
WY,0.736767204
