End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158743393245827,0.2907698877447834,0.3671552827013501,0.0262004902292836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.1524039213237264,0.0617480128727174,0.1397418039934825,0.0,0.0,0.0,0.0,0.0,0.6364933154991022,0.0096129463109713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,4,0.0,0.0,0.6245572063099778,0.0327782320339821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284317037441594,0.3099671946268652,0.0,0.0,0.0,0.0,0.0042656632850154,0.0
heating,5,0.0,0.0008215356393133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3458167128590825,0.1996615475388544,0.0,0.2149874557611902,0.2237382296124669,0.0105584057028712,0.0044161128862213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,6,0.0,0.0,0.0,0.0,0.0,0.026466533997401,0.0,0.0,0.0,0.0,0.169542288414717,0.0,0.0,0.0,0.045292460637985,0.7586987169498969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.3441270145318456,0.0,0.0,0.0,0.0,0.0858231884795744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565344388750078,0.0,0.0,0.0047054082385019,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0005773897759311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015209277322449,0.0,0.0136428340252061,0.0474810010722167,0.0,0.0,0.387844804913407,0.1048565636860179,0.4440764787949758
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.534402771977401e-07,0.1158073696660142,0.0479715682631014,0.8362209086306072,0.0,0.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
