End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,Total
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349343654619652,0.1946552110951303,0.43018080795724,0.0258203263279774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,3,0.0,0.0,0.1611209381952668,0.0901960214444607,0.1064441354612642,0.0,0.0,0.0,0.0,0.0,0.633671042584151,0.0085678623148572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,4,0.0,0.0,0.4852157869440516,0.0525918444782601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0924965946582376,0.366918502743089,0.0,0.0,0.0,0.0,0.0027772711763615,0.0,1.0
heating,5,0.0,0.0132183641843715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2336258764916539,0.1596364437164882,0.0,0.3643915494201212,0.2118361280442108,0.011222075284888,0.0060695628582661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,6,0.0,0.0,0.0,0.0,0.0,0.0587058112648918,0.0,0.0,0.0,0.0,0.0976033376911003,0.0,0.0,0.0,0.0932501492362009,0.750440701807807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
heating,7,0.5455371060527306,0.0,0.0,0.0,0.0,0.1340017407501219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3163872441453931,0.0,0.0,0.0040739090517543,0.0,0.0,0.0,0.0,0.0,1.0
heating,8,0.0,0.0,0.0004713461119049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024010745677751,0.0,0.0031462215032614,0.1143410140648347,0.0,0.0,0.2868577436223817,0.0985721225006103,0.4942104776292316,1.0
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001141316109338,0.1566173349041868,0.0720263754256113,0.771242158059268,0.0,0.0,1.0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
