End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1787768922812447,0.2772552064502723,0.4903298173379646,0.0536380839305183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.102348027870026,0.2055218509334105,0.1333706793493246,0.0,0.0,0.0,0.0,0.0,0.4228805333372284,0.1358789085100102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,4,0.0,0.0,0.3944793331581849,0.1431560722935871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194635927949309,0.2633234013180751,0.0,0.0,0.0,0.0,0.0044052652808439,0.0,0.0
heating,5,0.0,0.0836631894820566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1229475700737983,0.1008001078170752,0.0,0.2063122729725,0.3092081284767455,0.1722187797139733,0.0048499514638509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,6,0.0,0.0,0.0,0.0,0.0,0.0493745689184852,0.0,0.0,0.0,0.0,0.0252750269326235,0.0,0.0,0.0,0.1846492469726973,0.7407011571761938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.5526017647052969,0.0,0.0,0.0,0.0,0.144999946500298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2940541627424093,0.0,0.0,0.0083441260519955,0.0,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0009249080119612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052173922869602,0.0,0.0035269349436843,0.123494498742089,0.0,0.0,0.1499909063476468,0.4262269885944393,0.2906183710732188,0.0
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001276620356173,0.22926628009067,0.2724739062067958,0.4424663403080234,0.0,0.0,0.0545168530383379
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
