End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,Total
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2693227134777469,0.2011848468218448,0.4774036869765459,0.0520887527238625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
heating,3,0.0,0.0,0.1162239365055092,0.1965233281384899,0.1297475941709722,0.0,0.0,0.0,0.0,0.0,0.3911217604415425,0.166383380743486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,4,0.0,0.0,0.3155656657519083,0.1627423197222955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336608135951645,0.1834500777804105,0.0,0.0,0.0,0.0,0.0016338007937406,0.0,1.0
heating,5,0.0,0.392282714357046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545348554377723,0.0392733361291805,0.0,0.1786492651108474,0.1894833301293442,0.1439041296460823,0.001872369189727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,6,0.0,0.0,0.0,0.0,0.0,0.0725330584146629,0.0,0.0,0.0,0.0,0.0147369593142786,0.0,0.0,0.0,0.2619815884482703,0.6507483938227879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,7,0.729720436109742,0.0,0.0,0.0,0.0,0.127270032625632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247870883417219,0.0,0.0,0.0182224429229039,0.0,0.0,0.0,0.0,0.0,1.0
heating,8,0.0,0.0,0.0001204726876622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047934295132152,0.0,0.0007928227448135,0.4633291874119373,0.0,0.0,0.041956130771783,0.2408335936686426,0.2481743632019459,1.0
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017863726279599,0.2750368838817877,0.3804996360760358,0.3426771074142166,0.0,0.0,1.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713688290481159,0.2006686457133721,0.4700355421287425,0.0579269831097694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,3,0.0,0.0,0.1322564733966329,0.1608649517368041,0.1691862518146787,0.0,0.0,0.0,0.0,0.0,0.3821828592682279,0.1555094637836563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,4,0.0,0.0,0.3420853366843527,0.1493049895681602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3385014706072946,0.1685217529299538,0.0,0.0,0.0,0.0,0.0015864502102384,0.0,1.0
cooling,5,0.0,0.2935507278789429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704939648450406,0.0495097917384463,0.0,0.2086151188284403,0.1958219458926481,0.1804793874083803,0.0015290634081014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,6,0.0,0.0,0.0,0.0,0.0,0.0867071804587057,0.0,0.0,0.0,0.0,0.0151831809460872,0.0,0.0,0.0,0.2331887653763886,0.6649208732188183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,7,0.6669415000480756,0.0,0.0,0.0,0.0,0.128012905281205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695170757336576,0.0,0.0,0.0355285189370617,0.0,0.0,0.0,0.0,0.0,1.0
cooling,8,0.0,0.0,0.0001717297822117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052385146638835,0.0,0.0009253419704755,0.3251225080724989,0.0,0.0,0.0441729281914986,0.2916754386948761,0.3326935386245555,1.0
cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001572954441116,0.2968546840463674,0.3819112292614188,0.3196611322510977,0.0,0.0,1.0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2926207915176154,0.2042839612706866,0.4407102424069768,0.062385004804721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,3,0.0,0.0,0.1500648535563658,0.1619678287754218,0.1631281111934835,0.0,0.0,0.0,0.0,0.0,0.3686308753095997,0.1562083311651289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,4,0.0,0.0,0.347345567838268,0.1505821310282392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3163131647011187,0.1839943727328166,0.0,0.0,0.0,0.0,0.0017647636995573,0.0,1.0
water heating,5,0.0,0.3104072881061698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0601474832413802,0.0524687539201206,0.0,0.2391895447512189,0.1872825769522173,0.1484680307375989,0.0020363222912939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,6,0.0,0.0,0.0,0.0,0.0,0.079972455059197,0.0,0.0,0.0,0.0,0.0172364834644444,0.0,0.0,0.0,0.2625760645292855,0.6402149969470731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
