End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2381635836411669,0.2794018308188685,0.4154307107469927,0.0670038747929717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.1271356749812716,0.1504288736587723,0.1976585396478965,0.0,0.0,0.0,0.0,0.0,0.3499268701837881,0.1748500415282713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,4,0.0,0.0,0.4831082887443308,0.1176533254336639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866780176826567,0.2092818346396324,0.0,0.0,0.0,0.0,0.003278533499716,0.0
heating,5,0.0,0.0196975854024453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1827566902875989,0.1237310470909652,0.0,0.2533687397067637,0.221638876366394,0.1974864056327835,0.0013206555130491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,6,0.0,0.0,0.0,0.0,0.0,0.068329374068949,0.0,0.0,0.0,0.0,0.0319665714498455,0.0,0.0,0.0,0.1606494693070168,0.7390545851741885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.4517083619135563,0.0,0.0,0.0,0.0,0.131429663644411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963014640832508,0.0,0.0,0.0205605103587818,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0008654937231959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036643588028229,0.0,0.0043051801106822,0.0861100835509209,0.0,0.0,0.1147673692915915,0.4553767274326411,0.3349107870881454
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006503657853922,0.3268879093248996,0.4366903728817935,0.2357713520079145,0.0,0.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
