End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0581863277565873,0.54507277499723,0.3651214544538437,0.0316194427923389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.3315320047234266,0.152700952332866,0.1977579138369499,0.0,0.0,0.0,0.0,0.0,0.3011878613781766,0.0168212677285806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,4,0.0,0.0,0.4676101043837455,0.0900440016585875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1956759129558491,0.2399779717906955,0.0,0.0,0.0,0.0,0.0066920092111223,0.0
heating,5,0.0,0.0130448836341853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1831237414824489,0.1104374025928489,0.0,0.154606357309965,0.3641324570978923,0.1673364555599399,0.0073187023227193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,6,0.0,0.0,0.0,0.0,0.0,0.1140982545518271,0.0,0.0,0.0,0.0,0.0284458206607313,0.0,0.0,0.0,0.2344205974560609,0.6230353273313806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.2974310917055801,0.0,0.0,0.0,0.0,0.1937276512867305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4991604957278289,0.0,0.0,0.0096807612798604,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0049193058254193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028067365891393,0.0,0.0187698929244882,0.1081657910848022,0.0,0.0,0.2894215666892903,0.3700570671565817,0.2058596397302788
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005828276415167,0.4832723593002943,0.224362810410661,0.291782002647528,0.0,0.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooling,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
