End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2466608711880787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3515582316857306,0.0,0.1683550372772598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1298000771161236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556627718399666,0.0,0.0,0.0,0.0,0.0,0.0,0.0479630108928404,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863479740232177,0.0,0.0,0.589306030654915,0.0,0.0,0.0,0.3243459953218672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393093431261273,0.1527239944655734,0.0,0.0,0.0,0.0,0.0,0.0,0.1917968464068138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4304290332527034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185740782748782,0.0,0.0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2164328530003728,0.0,0.0,0.0,0.1119448456102018,0.0,0.0,0.0,0.0,0.0,0.0,0.3131169684780353,0.1580636662679175,0.0,0.0,0.0,0.053772850027295,0.0856078661503451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0610609504658322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051961111442156,0.0466547446549496,0.007435215285948,0.0738301340927395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899166201331143,0.0,0.0,0.0,0.0,0.0,0.0,0.2820119189025061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306831778562206,0.0,0.0,0.0,0.0,0.225560699398692,0.0,0.0,0.0,0.038711378531614,0.0
heating,6,0.0,0.1877419674051937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3254889031060495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1631492217106333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3236199077781235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.0,0.0,0.2567228641840643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222578461928514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3533874871954613,0.0,0.0,0.0,0.0,0.0,0.0,0.3676318024276229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0,0.0468237409216965,0.0,0.2655352118786475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1632779992357992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577007487269084,0.0,0.0,0.0,0.0,0.0,0.0566993645825246,0.0827732781242167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416914024855422,0.0,0.0,0.0,0.0,0.0,0.0854982540446645
heating,9,0.0265581107444089,0.0,0.0,0.0,0.347022593947944,0.0,0.0,0.0,0.0,0.0,0.0,0.0001635176893515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509601715350072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3752956060832882,0.0,0.0,0.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
