End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2484375751005217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3861034231713555,0.0,0.1603853283590304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1262626338766106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040936733495643,0.0,0.0,0.0,0.0,0.0,0.0,0.0378743059968385,0.0,0.0,0.0,0.0,1.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081262246238246,0.0,0.0,0.5471358769578868,0.0,0.0,0.0,0.3716018768038672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029712227853192,0.1551324621678277,0.0,0.0,0.0,0.0,0.0,0.0,0.1532198979292548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5571090520769715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1048263599727538,0.0,0.0,1.0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1814061210428864,0.0,0.0,0.0,0.1713242003274369,0.0,0.0,0.0,0.0,0.0,0.0,0.2631951940600435,0.2341264234470486,0.0,0.0,0.0,0.032303838421584,0.0788016409966995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038842581704301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034510270541213,0.0351423837411877,0.0599512206960916,0.087092578048991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379121025278459,0.0,0.0,0.0,0.0,0.0,0.0,0.2744255696620147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0538785577757781,0.0,0.0,0.0,0.0,0.2264876783360367,0.0,0.0,0.0,0.0216588821579326,0.0,0.9999999999999998
heating,6,0.0,0.2568449356572974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1962553022081779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2313682729147061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3155314892198186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,7,0.0,0.0,0.1713162215940642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0307449336337833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2067564061779082,0.0,0.0,0.0,0.0,0.0,0.0,0.5911824385942442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,8,0.0,0.0,0.0,0.1656606644973977,0.0,0.2675370970239051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982946862015471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1575010207363539,0.0,0.0,0.0,0.0,0.0,0.1252434466496197,0.0920710716580071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507188029637305,0.0,0.0,0.0,0.0,0.0,0.0429732102694387,1.0
heating,9,0.0055292666396982,0.0,0.0,0.0,0.675648363633782,0.0,0.0,0.0,0.0,0.0,0.0,0.0045886982690368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1041094723994763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2101241990580065,0.0,0.0,0.0,1.0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2540307724911916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367621521249438,0.0,0.2190650243222014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081186711224447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026266856663494,0.0,0.0,0.0,0.0,0.0,0.0,0.0557565232757244,0.0,0.0,0.0,0.0,1.0
