End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2329038862992246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5391173433791355,0.0,0.088291983289375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0770108938980408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406581305007702,0.0,0.0,0.0,0.0,0.0,0.0,0.0220177626334535,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130358324821693,0.0,0.0,0.4588878985467245,0.0,0.0,0.0,0.4107537766315825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1947785974954879,0.2168145074219646,0.0,0.0,0.0,0.0,0.0,0.0,0.1505492458745765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3389093231937304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989483260142405,0.0,0.0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583968101924018,0.0,0.0,0.0,0.1139728326293017,0.0,0.0,0.0,0.0,0.0,0.0,0.2669769867815389,0.2238191676135943,0.0,0.0,0.0,0.0635483911380601,0.1227034690600032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0505823425850996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241007646576173,0.0128577202370576,0.0886386550662747,0.1685666163497656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1485328697963089,0.0,0.0,0.0,0.0,0.0,0.0,0.2574825118132569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712066808572304,0.0,0.0,0.0,0.0,0.2017964490527558,0.0,0.0,0.0,0.0268177321697327,0.0
heating,6,0.0,0.1950865903690681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3137791720081023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096759720771912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3943745168509173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.0,0.0,0.1347061478930065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0716665501104093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182289577502784,0.0,0.0,0.0,0.0,0.0,0.0,0.6113377244938001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0,0.0929073973522318,0.0,0.3981072421236323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1312719423265927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1218061130733393,0.0,0.0,0.0,0.0,0.0,0.0390036284894824,0.0866596307319118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0802676479356218,0.0,0.0,0.0,0.0,0.0,0.0499763979671876
heating,9,0.0524357770996398,0.0,0.0,0.0,0.5045594490822505,0.0,0.0,0.0,0.0,0.0,0.0,0.002081075938698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1442255517462048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2966981461332069,0.0,0.0,0.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2356079805405343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5717416382027357,0.0,0.0615357549084369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069318847550249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425950833422303,0.0,0.0,0.0,0.0,0.0,0.0,0.0192006954558137,0.0,0.0,0.0,0.0
