End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2273786218738817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6269331804262682,0.0,0.0288920354333961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463593212805512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540651349249662,0.0,0.0,0.0,0.0,0.0,0.0,0.0163717060609363,0.0,0.0,0.0,0.0,1.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207497888353524,0.0,0.0,0.4837491093531563,0.0,0.0,0.0,0.3087530022933196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2134060276888667,0.1863613526712697,0.0,0.0,0.0,0.0,0.0,0.0,0.1980368787432917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695788164548449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326169244417269,0.0,0.0,1.0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1828221935433809,0.0,0.0,0.0,0.2108695003662652,0.0,0.0,0.0,0.0,0.0,0.0,0.2155693081091398,0.2682806820541492,0.0,0.0,0.0,0.0254778475716663,0.0752072631247775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217732052306209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492780148742789,0.0086116703948769,0.0834121434464132,0.2433803097375744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1358658629049942,0.0,0.0,0.0,0.0,0.0,0.0,0.1544528119102719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0592405738159895,0.0,0.0,0.0,0.0,0.2440447432245568,0.0,0.0,0.0,0.0217138696910439,0.0,1.0
heating,6,0.0,0.2048890685235058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2246347159558514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1483240098378158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4221522056828269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,7,0.0,0.0,0.0770788446482751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732036630850972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1214191189313651,0.0,0.0,0.0,0.0,0.0,0.0,0.7282983733352624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,8,0.0,0.0,0.0,0.1708534102398186,0.0,0.3214969818933022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834909606863465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323448912205543,0.0,0.0,0.0,0.0,0.0,0.0817479535226224,0.121776343533542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166800564486082,0.0,0.0,0.0,0.0,0.0,0.0214888944177318,1.0
heating,9,0.0090177670584081,0.0,0.0,0.0,0.8242630465144862,0.0,0.0,0.0,0.0,0.0,0.0,0.0075426840404582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544545240593257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1047219783273217,0.0,0.0,0.0,1.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2318556050875314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6236628308598977,0.0,0.0249724717636588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466543749722282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0565096215280778,0.0,0.0,0.0,0.0,0.0,0.0,0.0163450957886058,0.0,0.0,0.0,0.0,1.0
cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2231373349130342,0.0,0.0,0.4608986999519113,0.0,0.0,0.0,0.3159639651350544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142977371285231,0.1865297863081896,0.0,0.0,0.0,0.0,0.0,0.0,0.1984312165558619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2694224984500705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1313187615573546,0.0,0.0,1.0
cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1776659963378279,0.0,0.0,0.0,0.2151030076617462,0.0,0.0,0.0,0.0,0.0,0.0,0.2159011881437812,0.2688025483575415,0.0,0.0,0.0,0.0245462839238846,0.0756777137527228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223032618224955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366971637791752,0.0092337294148763,0.064144863048048,0.258394220018277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1405821194644018,0.0,0.0,0.0,0.0,0.0,0.0,0.1621248831128699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0619765872740681,0.0,0.0,0.0,0.0,0.2450335831222326,0.0,0.0,0.0,0.0218128507660509,0.0,1.0000000000000002
cooling,6,0.0,0.2025694214896319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2301868817457333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477191239233745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4195245728412602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,7,0.0,0.0,0.0764528979990759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0741889405032592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1225075736292732,0.0,0.0,0.0,0.0,0.0,0.0,0.7268505878683915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,8,0.0,0.0,0.0,0.1673718963404034,0.0,0.3183570476256626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0864506917920102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0331902208614598,0.0,0.0,0.0,0.0,0.0,0.0812308948530183,0.1227919469787524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689146104159014,0.0,0.0,0.0,0.0,0.0,0.0216926911327913,1.0
cooling,9,0.0090680911057463,0.0,0.0,0.0,0.8262923086328824,0.0,0.0,0.0,0.0,0.0,0.0,0.0069263822899309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0549418672387379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1027713507327023,0.0,0.0,0.0,1.0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2232267411928793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6074417642975702,0.0,0.046952219347852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054148383266405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0480644578320715,0.0,0.0,0.0,0.0,0.0,0.0,0.0201664340632218,0.0,0.0,0.0,0.0,1.0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1723873857540361,0.0,0.0,0.5195406187347953,0.0,0.0,0.0,0.3080719955111686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
