End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1449851683685732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3239296619778557,0.0,0.1898288885666625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415457758507473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0367601207399681,0.0,0.0,0.0,0.0,0.0,0.0,0.062950384496193,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060525613766439,0.0,0.0,0.6050660218922908,0.0,0.0,0.0,0.3344083643412703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0744220430893328,0.1526627997770819,0.0,0.0,0.0,0.0,0.0,0.0,0.2511466836265651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2183896807784346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033787927285852,0.0,0.0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2087560667119141,0.0,0.0,0.0,0.1127087269982747,0.0,0.0,0.0,0.0,0.0,0.0,0.3154888842460489,0.1730111876161618,0.0,0.0,0.0,0.0492075606437763,0.0861736632983332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546539104854908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022778364411636,0.0285258303113989,0.0150756014415023,0.1701807886704802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904953648901614,0.0,0.0,0.0,0.0,0.0,0.0,0.3288923745143551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0738184787907854,0.0,0.0,0.0,0.0,0.1526588474957765,0.0,0.0,0.0,0.0380748774443762,0.0
heating,6,0.0,0.2311812880536079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2854074424277253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1987082620296955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2847030074889712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.0,0.0,0.2640144842797144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269040452404542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3550571111327351,0.0,0.0,0.0,0.0,0.0,0.0,0.3540243593470962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0,0.0507521120062204,0.0,0.3028300868001827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1030405720284744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2843757795134709,0.0,0.0,0.0,0.0,0.0,0.0674628505857783,0.0335762584123477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0370907834454517,0.0,0.0,0.0,0.0,0.0,0.1208715572080736
heating,9,0.0801948096669502,0.0,0.0,0.0,0.661983612932073,0.0,0.0,0.0,0.0,0.0,0.0,5.9848521216639016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0998085222240307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579532066557293,0.0,0.0,0.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
