End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK,HI
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975322718458785,0.2384031890709808,0.4214061738934041,0.0426583651897366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,3,0.0,0.0,0.2689483148436541,0.0268852173925075,0.1448999973625272,0.0,0.0,0.0,0.0,0.0,0.5537438962016957,0.0055225741996153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,4,0.0,0.0,0.6470816589601689,0.0145207720526089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145212933987037,0.3238762755885185,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,5,0.0,0.0010402914018354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4251199932597425,0.1954455639875245,0.0,0.1965991178078446,0.1742358468597761,0.0009512557938717,0.006607930889405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,6,0.0,0.0,0.0,0.0,0.0,0.0026663394265116,0.0,0.0,0.0,0.0,0.3553039201200103,0.0,0.0,0.0,0.0150426121778416,0.6269871282756364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,7,0.0097388868333421,0.0,0.0,0.0,0.0,0.3641048681219938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6261562450446643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095868076023681,0.0,0.0,0.4042601700648129,0.0,0.5861530223328189,0,0
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989399209736291,0.0032762858637443,0.8977837931626266,0.0,0.0,0,0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4475116899676992,0.2185186827718985,0.2967596001204052,0.0372100271399972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,3,0.0,0.0,0.1094811187807156,0.2638044923945021,0.2854866949317073,0.0,0.0,0.0,0.0,0.0,0.332775411748605,0.0084522821444699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,4,0.0,0.0,0.727807066741447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272192933258553,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,5,0.0,0.0031231269776395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5413351288076421,0.1523505363341473,0.0,0.1951142757096421,0.1080769321709288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360638715833193,0.0,0.0,0.0,0.0,0.6393612841668069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,7,0.9548225143735316,0.0,0.0,0.0,0.0,0.0231162458584216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220612397680469,0.0,0.0,0.0,0.0,0.0,0,0
water heating,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128956103667597,0.0,0.0,0.2829986421782319,0.4106609955223917,0.2934447519326165,0,0
water heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370683618095343,0.0078371516408402,0.8550944865496254,0.0,0.0,0,0
misc,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112785482762884,0.1965852831597959,0.5875292681092642,0.1030999659680558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,3,0.0,0.0,0.1170821067187771,0.1789397821797406,0.1941764433780936,0.0,0.0,0.0,0.0,0.0,0.3156368409301539,0.1941648267932348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,4,0.0,0.0,0.3167958780563097,0.258281004961784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269500772697835,0.0979730397121227,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,5,0.0,0.3808764018224394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0741035422645128,0.0677432799496334,0.0,0.0852228831494164,0.1458754582467549,0.2432488187682699,0.0029296157989728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,6,0.0,0.0,0.0,0.0,0.0,0.0732158387255175,0.0,0.0,0.0,0.0,0.0193692284895752,0.0,0.0,0.0,0.2027074166023917,0.7047075161825155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,7,0.6209350277934036,0.0,0.0,0.0,0.0,0.1505762109822137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202224630136907,0.0,0.0,0.0262641310874758,0.0,0.0,0.0,0.0,0.0,0,0
misc,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070672614180723,0.0,0.0,0.667210484003539,0.0,0.0,0.0091739493274543,0.0604837286288272,0.2560645766221071,0,0
misc,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002617671662771,0.3864971117960229,0.5192223654197865,0.0916628511214195,0.0,0.0,0,0
