End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK,HI
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099715865479489,0.2211749628202917,0.5859122988420598,0.0931968728581593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,3,0.0,0.0,0.1067532732932275,0.2752242865533878,0.1069159665715891,0.0,0.0,0.0,0.0,0.0,0.4151649054036821,0.0959415681781133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,4,0.0,0.0,0.2690078201106918,0.2013680396911445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224614288841674,0.2983671270381517,0.0,0.0,0.0,0.0,0.0066427243183377,0.0,0,0
heating,5,0.0,0.0948730396260477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1150783654904198,0.1509546226252059,0.0,0.2007910810705529,0.2853967053161421,0.1449751542722664,0.0079310315993651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,6,0.0,0.0,0.0,0.0,0.0,0.0429789030682377,0.0,0.0,0.0,0.0,0.0328865753432412,0.0,0.0,0.0,0.1677352659744329,0.756399255614088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,7,0.5099593892642026,0.0,0.0,0.0,0.0,0.2174958976197271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2693893602044201,0.0,0.0,0.0031553529116501,0.0,0.0,0.0,0.0,0.0,0,0
heating,8,0.0,0.0,0.0005789628318218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015828699400956,0.0,0.0029938337607719,0.1650131949540688,0.0,0.0,0.1521437751620344,0.3288050520832047,0.334636481807142,0,0
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014464089098154,0.1892133815485689,0.0763400850074382,0.7330001245341773,0.0,0.0,0,0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2108565890476518,0.1441906484765242,0.5626427582911262,0.0823100041846977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooling,3,0.0,0.0,0.0912665352977269,0.2434783074822178,0.1554776853759096,0.0,0.0,0.0,0.0,0.0,0.3373680076918164,0.1724094641523292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooling,4,0.0,0.0,0.2325322236921695,0.2425482096805285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373964277736546,0.1488598068816279,0.0,0.0,0.0,0.0,0.0020954820091279,0.0,0,0
cooling,5,0.0,0.420510049673916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0552517470644536,0.0448854152602056,0.0,0.0937539908204833,0.2093302384856311,0.174295204060706,0.0019733546346041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooling,6,0.0,0.0,0.0,0.0,0.0,0.0944086412241737,0.0,0.0,0.0,0.0,0.0155450591343808,0.0,0.0,0.0,0.3207781088133636,0.5692681908280818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooling,7,0.61176085638993,0.0,0.0,0.0,0.0,0.193509142560414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1769506460324359,0.0,0.0,0.0177793550172198,0.0,0.0,0.0,0.0,0.0,0,0
cooling,8,0.0,0.0,0.0001796054111406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104901150267467,0.0,0.0004653520666463,0.6135704879420487,0.0,0.0,0.0125479977944224,0.0950060367306611,0.2677404050283339,0,0
cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120799296128204,0.2873226606266073,0.5701286278679311,0.1304687818926413,0.0,0.0,0,0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1950163080072079,0.1768027024324688,0.5461893665424736,0.0819916230178497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,3,0.0,0.0,0.1804087459685429,0.1951531902006565,0.1591799946838532,0.0,0.0,0.0,0.0,0.0,0.3379949512213365,0.1272631179256109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,4,0.0,0.0,0.3489468381960338,0.1898347718385615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2233765986626172,0.2333286977196278,0.0,0.0,0.0,0.0,0.0045130935831595,0.0,0,0
water heating,5,0.0,0.2831745990226199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0827764035969286,0.08577603905405,0.0,0.1332358020204508,0.2560943104718147,0.1552695539739526,0.0036732918601833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,6,0.0,0.0,0.0,0.0,0.0,0.0548674567197707,0.0,0.0,0.0,0.0,0.0259335642633102,0.0,0.0,0.0,0.2437980120725487,0.6754009669443705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,7,0.5902909754876736,0.0,0.0,0.0,0.0,0.2086145564609176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1905555258320047,0.0,0.0,0.010538942219404,0.0,0.0,0.0,0.0,0.0,0,0
water heating,8,0.0,0.0,0.0005681323036075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069143820921075,0.0,0.0020592769362732,0.386137771490461,0.0,0.0,0.1008148439640564,0.2245500222213995,0.2789555709920946,0,0
water heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015152160198269,0.2063091000204738,0.2186403767024746,0.5735353072572246,0.0,0.0,0,0
cooking,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooking,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295240125718373,0.1950393503342454,0.4917692191237855,0.0836674179701317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooking,3,0.0,0.0,0.1460420528020491,0.1787939845107724,0.1788115887919304,0.0,0.0,0.0,0.0,0.0,0.3541958827888229,0.1421564911064251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooking,4,0.0,0.0,0.3415069690054308,0.1784912606447313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692962308807247,0.2061308739588209,0.0,0.0,0.0,0.0,0.0045746655102922,0.0,0,0
cooking,5,0.0,0.3337380158883866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754862193081676,0.0724191529050693,0.0,0.1248666529987176,0.2340537826381753,0.1564975467829396,0.0029386294785438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooking,6,0.0,0.0,0.0,0.0,0.0,0.0738904103862502,0.0,0.0,0.0,0.0,0.0220227184835037,0.0,0.0,0.0,0.2654194154984501,0.6386674556317957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooking,7,0.5994212550973891,0.0,0.0,0.0,0.0,0.1990866332357049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1868531771556482,0.0,0.0,0.0146389345112578,0.0,0.0,0.0,0.0,0.0,0,0
cooking,8,0.0,0.0,0.0005433628843071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097963472778931,0.0,0.0013420385826781,0.3632071726383686,0.0,0.0,0.0609460834933356,0.2768506630009576,0.2873143321224597,0,0
cooking,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021230719639377,0.2823895338760794,0.3771594464006423,0.3383279477593404,0.0,0.0,0,0
drying,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
drying,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1950062663462923,0.2045546928358448,0.5076391250672735,0.0927999157505893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
drying,3,0.0,0.0,0.1504364858245435,0.1804280233827103,0.1596736796120104,0.0,0.0,0.0,0.0,0.0,0.3799495146529486,0.1295122965277871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
drying,4,0.0,0.0,0.3324592521871474,0.1710758161397182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2784031665933091,0.2128711023369508,0.0,0.0,0.0,0.0,0.0051906627428743,0.0,0,0
