End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,Total,AK,HI
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1859082438548229,0.1629248380512911,0.5651788091223712,0.0859881089715147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,3,0.0,0.0,0.1102996726265424,0.2733568370687484,0.0934903047091412,0.0,0.0,0.0,0.0,0.0,0.3997733568370687,0.1230798287584991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,4,0.0,0.0,0.2461947551806345,0.2465615257656335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2745277828718137,0.2283146891619292,0.0,0.0,0.0,0.0,0.0044012470199889,0.0,1.0,0,0
heating,5,0.0,0.4030836718537073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050122646039636,0.0580135235104022,0.0,0.1051511336647155,0.2288354466522174,0.1514711035547883,0.0033224747245331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,6,0.0,0.0,0.0,0.0,0.0,0.061362792424805,0.0,0.0,0.0,0.0,0.0197270701819532,0.0,0.0,0.0,0.2991088005941329,0.6198013367991088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,7,0.6187212833891441,0.0,0.0,0.0,0.0,0.2130415595877787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1608389793110609,0.0,0.0,0.0073981777120161,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,8,0.0,0.0,0.000144362638949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143640825754294,0.0,0.0008661758336942,0.5366681102930562,0.0,0.0,0.0500216543958423,0.1631297820124151,0.2348058322506135,1.0,0,0
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044129891756869,0.257826810990841,0.2892589508742714,0.4485012489592007,0.0,0.0,1.0,0,0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
