End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734436234552208,0.4861235165291427,0.3993590945659827,0.0410737654496536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.2924930244598008,0.1874895067232827,0.2380336623128129,0.0,0.0,0.0,0.0,0.0,0.2543325935415862,0.0276512129625172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,4,0.0,0.0,0.4696175272846057,0.0971734934206352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1564951171901273,0.2726748980923553,0.0,0.0,0.0,0.0,0.0040389640122763,0.0
heating,5,0.0,0.0098138169025234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1640940414737745,0.115994408572139,0.0,0.1996929424391954,0.3638632964485481,0.1388087284856838,0.0077327656781357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,6,0.0,0.0,0.0,0.0,0.0,0.1250766787568779,0.0,0.0,0.0,0.0,0.0416009864778701,0.0,0.0,0.0,0.1897312927896596,0.6435910419755924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.3224659329897945,0.0,0.0,0.0,0.0,0.2454879939249114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4298187366230347,0.0,0.0,0.0022273364622593,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0068788199336853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125488853114556,0.0,0.0222086166877449,0.1502506268404265,0.0,0.0,0.2346756893786956,0.3716919138103595,0.2017454480376324
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28063383689926e-05,0.5988279087028271,0.0811365109687051,0.3199527739900987,0.0,0.0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1699918544732735,0.4473305548883762,0.3478835155908139,0.0347940750475364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,3,0.0,0.0,0.171098238693905,0.2075074140778108,0.2741897281557818,0.0,0.0,0.0,0.0,0.0,0.3146797736747239,0.0325248453977784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,4,0.0,0.0,0.3709610232045785,0.1126075328469815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2974275474573983,0.2123961588312187,0.0,0.0,0.0,0.0,0.0066077376598228,0.0
water heating,5,0.0,0.1222250247073613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1592525591882286,0.0917008114932619,0.0,0.1874005074858541,0.2431706484272522,0.1915728520818301,0.0046775966162116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,6,0.0,0.0,0.0,0.0,0.0,0.2189075104284023,0.0,0.0,0.0,0.0,0.0112453033916807,0.0,0.0,0.0,0.2363292482031613,0.5335179379767555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,7,0.5165295948591365,0.0,0.0,0.0,0.0,0.2176889656315081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2599877009017187,0.0,0.0,0.0057937386076365,0.0,0.0,0.0,0.0,0.0
water heating,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158950538318741,0.0,0.0027639295941395,0.3946063303968427,0.0,0.0,0.0988953191243236,0.3065928703469693,0.1812464967058506
water heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011267205884721,0.5047759140536293,0.2316351295090822,0.2624622358488162,0.0,0.0
cooking,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooking,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1934102031473607,0.2766519380128465,0.4693962183080175,0.0605416405317752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooking,3,0.0,0.0,0.2349547473458685,0.2183764213142781,0.2085927686089476,0.0,0.0,0.0,0.0,0.0,0.3141316558134007,0.0239444069175049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooking,4,0.0,0.0,0.4091786735696129,0.1611530761598876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2046367474941402,0.2184898188235027,0.0,0.0,0.0,0.0,0.0065416839528564,0.0
cooking,5,0.0,0.2249099442843982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1007962344723358,0.0864716852362007,0.0,0.1309629743831047,0.3070212334481005,0.1468774914699162,0.0029604367059434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooking,6,0.0,0.0,0.0,0.0,0.0,0.1091335074459543,0.0,0.0,0.0,0.0,0.035074733808589,0.0,0.0,0.0,0.274718655442825,0.5810731033026316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooking,7,0.5526749626222818,0.0,0.0,0.0,0.0,0.2509477522443195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188880939698103,0.0,0.0,0.0074963454352957,0.0,0.0,0.0,0.0,0.0
cooking,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111112962068333,0.0,0.0037227461272506,0.491470637676638,0.0,0.0,0.0988116349824857,0.2141352891556959,0.1807483958510962
cooking,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014528455542005,0.3710740577206768,0.2406560150948717,0.3868170816302509,0.0,0.0
misc,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1699918544732735,0.4473305548883762,0.3478835155908139,0.0347940750475364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,3,0.0,0.0,0.171098238693905,0.2075074140778108,0.2741897281557818,0.0,0.0,0.0,0.0,0.0,0.3146797736747239,0.0325248453977784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,4,0.0,0.0,0.3709610232045785,0.1126075328469815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2974275474573983,0.2123961588312187,0.0,0.0,0.0,0.0,0.0066077376598228,0.0
misc,5,0.0,0.1222250247073613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1592525591882286,0.0917008114932619,0.0,0.1874005074858541,0.2431706484272522,0.1915728520818301,0.0046775966162116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,6,0.0,0.0,0.0,0.0,0.0,0.2189075104284023,0.0,0.0,0.0,0.0,0.0112453033916807,0.0,0.0,0.0,0.2363292482031613,0.5335179379767555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,7,0.5165295948591365,0.0,0.0,0.0,0.0,0.2176889656315081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2599877009017187,0.0,0.0,0.0057937386076365,0.0,0.0,0.0,0.0,0.0
misc,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158950538318741,0.0,0.0027639295941395,0.3946063303968427,0.0,0.0,0.0988953191243236,0.3065928703469693,0.1812464967058506
misc,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011267205884721,0.5047759140536293,0.2316351295090822,0.2624622358488162,0.0,0.0
drying,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drying,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1826319493545865,0.3888183380504934,0.3863688932839939,0.0421808193109262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drying,3,0.0,0.0,0.2022264752246808,0.3057545398273458,0.2889855135658455,0.0,0.0,0.0,0.0,0.0,0.1462957012129904,0.0567377701691374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drying,4,0.0,0.0,0.4661397868195569,0.1336015246783551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024094986194481,0.1978491898826399,0.0,0.0,0.0,0.0,0.0,0.0
drying,5,0.0,0.3044654297849565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0420860043802226,0.0604598955027917,0.0,0.2145361321909197,0.3613813776422805,0.0124735063431459,0.0045976541556828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drying,6,0.0,0.0,0.0,0.0,0.0,0.3723288313766607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4062659511360658,0.2214052174872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drying,7,0.6112405918228313,0.0,0.0,0.0,0.0,0.1038721433204794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713966423387802,0.0,0.0,0.013490622517909,0.0,0.0,0.0,0.0,0.0
drying,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149193602794199,0.0,0.0,0.54178288282905,0.0,0.0,0.0540489486091647,0.3500421173155174,0.0392066909668477
drying,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4485123583724067,0.3517484347856732,0.1997392068419199,0.0,0.0
