End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,Total
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1196013289036544,0.4111295681063122,0.4235880398671096,0.0456810631229235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,3,0.0,0.0,0.2767229254571027,0.1976090014064697,0.2396272855133615,0.0,0.0,0.0,0.0,0.0,0.2591420534458509,0.0268987341772151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
heating,4,0.0,0.0,0.4234894062254773,0.134187810619932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053361234632487,0.2320167407794925,0.0,0.0,0.0,0.0,0.0049699189118493,0.0,1.0
heating,5,0.0,0.039614855570839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1295735900962861,0.0781292984869325,0.0,0.1669876203576341,0.381292984869326,0.1944979367262723,0.0099037138927097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,6,0.0,0.0,0.0,0.0,0.0,0.1680350301039956,0.0,0.0,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.3015873015873015,0.5073891625615763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,7,0.4406405300938707,0.0,0.0,0.0,0.0,0.2418553285477636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103257868580894,0.0,0.0,0.007178354500276,0.0,0.0,0.0,0.0,0.0,1.0
heating,8,0.0,0.0,0.0013029315960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188925081433224,0.0,0.0091205211726384,0.3296416938110749,0.0,0.0,0.1478827361563517,0.314657980456026,0.1785016286644951,1.0
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010282776349614,0.548586118251928,0.2442159383033419,0.2061696658097686,0.0,0.0,1.0000000000000002
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746268656716418,0.4437810945273632,0.345273631840796,0.036318407960199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,3,0.0,0.0,0.1597154865826059,0.2091820239249919,0.2757840284513417,0.0,0.0,0.0,0.0,0.0,0.325573876495312,0.0297445845457484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,4,0.0,0.0,0.3439334637964775,0.1291585127201565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3268101761252446,0.1937377690802348,0.0,0.0,0.0,0.0,0.0063600782778864,0.0,1.0
water heating,5,0.0,0.1633783316026306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429560401523018,0.0848044305988231,0.0,0.1623399100034614,0.2502596053997923,0.1910695742471443,0.0051921079958463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,6,0.0,0.0,0.0,0.0,0.0,0.2177242888402626,0.0,0.0,0.0,0.0,0.0098468271334792,0.0,0.0,0.0,0.2702407002188184,0.5021881838074399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
water heating,7,0.5281545417180435,0.0,0.0,0.0,0.0,0.2248253185367858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241265926839293,0.0,0.0,0.0057542129058775,0.0,0.0,0.0,0.0,0.0,1.0
water heating,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194647201946472,0.0,0.0024330900243309,0.4616788321167883,0.0,0.0,0.0796836982968369,0.2621654501216545,0.1745742092457421,1.0
water heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020024028834601,0.4893872647176612,0.2663195835002002,0.2422907488986784,0.0,0.0,1.0
cooking,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooking,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1916905444126074,0.2759312320916905,0.4722063037249283,0.0601719197707736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooking,3,0.0,0.0,0.2383252818035426,0.2194041867954911,0.2041062801932367,0.0,0.0,0.0,0.0,0.0,0.3152173913043478,0.0229468599033816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooking,4,0.0,0.0,0.4064837905236907,0.1596009975062343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2088528678304239,0.2188279301745635,0.0,0.0,0.0,0.0,0.0062344139650872,0.0,0.9999999999999998
cooking,5,0.0,0.2214203233256351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964203233256351,0.0880484988452656,0.0,0.13135103926097,0.3126443418013857,0.1466512702078522,0.0034642032332563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
cooking,6,0.0,0.0,0.0,0.0,0.0,0.1058201058201058,0.0,0.0,0.0,0.0,0.0338624338624338,0.0,0.0,0.0,0.273015873015873,0.5873015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooking,7,0.5424551188743328,0.0,0.0,0.0,0.0,0.252304706453178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197962154294032,0.0,0.0,0.007278020378457,0.0,0.0,0.0,0.0,0.0,1.0
cooking,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111835973904939,0.0,0.0037278657968313,0.499534016775396,0.0,0.0,0.0997204100652376,0.2096924510717614,0.1761416589002795,1.0
cooking,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011415525114155,0.3694824961948249,0.2431506849315068,0.3862252663622527,0.0,0.0,1.0
misc,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
misc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746268656716418,0.4437810945273632,0.345273631840796,0.036318407960199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
misc,3,0.0,0.0,0.1597154865826059,0.2091820239249919,0.2757840284513417,0.0,0.0,0.0,0.0,0.0,0.325573876495312,0.0297445845457484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
misc,4,0.0,0.0,0.3439334637964775,0.1291585127201565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3268101761252446,0.1937377690802348,0.0,0.0,0.0,0.0,0.0063600782778864,0.0,1.0
misc,5,0.0,0.1633783316026306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429560401523018,0.0848044305988231,0.0,0.1623399100034614,0.2502596053997923,0.1910695742471443,0.0051921079958463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
misc,6,0.0,0.0,0.0,0.0,0.0,0.2177242888402626,0.0,0.0,0.0,0.0,0.0098468271334792,0.0,0.0,0.0,0.2702407002188184,0.5021881838074399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
misc,7,0.5281545417180435,0.0,0.0,0.0,0.0,0.2248253185367858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241265926839293,0.0,0.0,0.0057542129058775,0.0,0.0,0.0,0.0,0.0,1.0
misc,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194647201946472,0.0,0.0024330900243309,0.4616788321167883,0.0,0.0,0.0796836982968369,0.2621654501216545,0.1745742092457421,1.0
misc,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020024028834601,0.4893872647176612,0.2663195835002002,0.2422907488986784,0.0,0.0,1.0
drying,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
drying,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1781285231116122,0.3900789177001127,0.3844419391206313,0.0473506200676437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
drying,3,0.0,0.0,0.2040816326530612,0.3114463176574977,0.284826974267968,0.0,0.0,0.0,0.0,0.0,0.1472937000887311,0.0523513753327417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
drying,4,0.0,0.0,0.4668587896253601,0.132564841498559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132564841498559,0.1873198847262247,0.0,0.0,0.0,0.0,0.0,0.0,1.0
drying,5,0.0,0.2741116751269035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380710659898477,0.0685279187817258,0.0,0.2030456852791878,0.3934010152284263,0.0177664974619289,0.0050761421319796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
drying,6,0.0,0.0,0.0,0.0,0.0,0.3461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
drying,7,0.6140350877192983,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2719298245614035,0.0,0.0,0.0087719298245614,0.0,0.0,0.0,0.0,0.0,1.0
drying,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162162162162162,0.0,0.0,0.5351351351351352,0.0,0.0,0.0702702702702702,0.3351351351351352,0.0432432432432432,1.0000000000000002
drying,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4479905437352245,0.3522458628841607,0.1997635933806146,0.0,0.0,1.0
