End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
heating,1,0.0,0.0,0.0,0.0,0.0,0.2520610874282727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3196405114088649,0.0,0.1834053217023103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1239118109726291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0562213313874088,0.0,0.0,0.0,0.0,0.0,0.0,0.0647599371005138,0.0,0.0,0.0,0.0,0,0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088023997263877,0.0,0.0,0.5394643081868281,0.0,0.0,0.0,0.3517332920867842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076377108207641,0.0496298817384166,0.0,0.0,0.0,0.0,0.0,0.0,0.2003904090810044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878870392635215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2544549590962933,0.0,0.0,0,0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019399448600308,0.0,0.0,0.0,0.0145212933987037,0.0,0.0,0.0,0.0,0.0,0.0,0.7361844387735358,0.0145207720526089,0.0,0.0,0.0,0.1579467321445279,0.0308772438084236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026550071221892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0030572179341157,0.079572483887255,0.0010402914018354,0.0009512557938717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4234314059535206,0.0,0.0,0.0,0.0,0.0,0.0,0.172089314614322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083087266545822,0.0,0.0,0.0,0.0,0.2774192764960674,0.0,0.0,0.0,0.0341300272644295,0.0,0,0
heating,6,0.0150426121778416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7004099684697431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026663394265116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818810799259034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626156245044664,0.0,0.0,0.0,0.0,0.0,0.0,0.3738437549553359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,8,0.0,0.0,0.0095868076023681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4400577782377637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2392994013682582,0.0,0.0,0.0,0.0,0.0,0.0,0.3110560127916099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,9,0.0,0.0,0.0,0.2070988830448918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797237928943675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5131773240607408,0.0,0.0,0.0,0,0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.2423225843198021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3244017319017561,0.0,0.2099453236405493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1104037024520963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674731149554704,0.0,0.0,0.0,0.0,0.0,0.0,0.0454535427303256,0.0,0.0,0.0,0.0,0,0
