End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total
heating,1,0.0,0.0,0,0.0,0.0,0.0,0.2536741875388119,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3087352515007245,0.0,0.1955081763610018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1219209273442351,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0590974953425791,0.0,0.0,0.0,0.0,0,0.0,0.0610639619126474,0.0,0.0,0.0,0,1.0
heating,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097262911191094,0,0.0,0.588683351468988,0.0,0.0,0.0,0.314053737339918,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
heating,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0097765363128491,0.0460893854748603,0.0,0.0,0,0.0,0.0,0.0,0.1927374301675977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5167597765363128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2346368715083799,0.0,0,1.0
heating,4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0238095238095238,0.0,0.0,0.0,0.0119047619047619,0.0,0,0.0,0.0,0.0,0.0,0.7559523809523809,0.0238095238095238,0.0,0.0,0.0,0.125,0.0297619047619047,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297619047619047,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
heating,5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0048076923076923,0.0791083916083916,0.0048076923076923,0.0017482517482517,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3653846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.2316433566433566,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161713286713286,0.0,0.0,0.0,0,0.2683566433566433,0.0,0.0,0.0,0.0279720279720279,0,1.0
heating,6,0.0,0.0294117647058823,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
heating,7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0,0.0,0.0,0.0,0.0,0.0,0,1.0
heating,8,0.0,0.0,0,0.0465116279069767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.372093023255814,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1627906976744186,0.0,0.0,0.0,0.0,0.0,0,0.4186046511627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
heating,9,0.5697258641239571,0.0,0,0.0,0.1108462455303933,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1179976162097735,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.201430274135876,0.0,0.0,0,1.0
water heating,1,0.0,0.0,0,0.0,0.0,0.0,0.2293827580343479,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3116816867879612,0.0,0.229722836252338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1130760074817208,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669954089440571,0.0,0.0,0.0,0.0,0,0.0,0.0491413024995749,0.0,0.0,0.0,0,1.0
water heating,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0817698123774852,0,0.0,0.6795015401848222,0.0,0.0,0.0,0.2387286474376925,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
water heating,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0133333333333333,0.4622222222222222,0.0,0.0,0,0.0,0.0,0.0,0.2711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0933333333333333,0.0,0,1.0
water heating,4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
