End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.292382149819874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501845770562259,0.0,0.0800585709344181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519934687687834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576700711539246,0.0,0.0,0.0,0.0,0.0,0.0,0.0160499687607409,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1442528512743193,0.0,0.0,0.3227985379612758,0.0,0.0,0.0,0.5329486107644048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2157739907776356,0.2287184654760853,0.0,0.0,0.0,0.0,0.0,0.0,0.1255894527900602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3287591092510947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1011589817051242,0.0,0.0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323226305702734,0.0,0.0,0.0,0.0964681409654183,0.0,0.0,0.0,0.0,0.0,0.0,0.181448935912571,0.3295141875674002,0.0,0.0,0.0,0.0750652758032283,0.1301055998422804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0550752293388282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007962557406214,0.0156880829937393,0.1090941620772097,0.1320986073096818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277982864232196,0.0,0.0,0.0,0.0,0.0,0.0,0.2219343479879156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855875528863312,0.0,0.0,0.0,0.0,0.2373319750038424,0.0,0.0,0.0,0.0625044279118459,0.0
heating,6,0.0,0.183726636388985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3291064425469314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0962498887873402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3909170322767432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.0,0.0,0.1317490011533218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1143426537103848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1569269952969963,0.0,0.0,0.0,0.0,0.0,0.0,0.596981349839297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0,0.1193822050928512,0.0,0.3000975528580923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2139633642041719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1065847390556025,0.0,0.0,0.0,0.0,0.0,0.063952865118497,0.0688040919661738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673499040142361,0.0,0.0,0.0,0.0,0.0,0.0598652776903749
heating,9,0.0054303413292259,0.0,0.0,0.0,0.2697671233323841,0.0,0.0,0.0,0.0,0.0,0.0,0.0003715050163716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2335024816662385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909285486557797,0.0,0.0,0.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2882358720043714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4868040983903492,0.0,0.0467257211308974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0830182236225896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719959013933753,0.0,0.0,0.0,0.0,0.0,0.0,0.0232201834584169,0.0,0.0,0.0,0.0
