End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2917958838455032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235410205807726,0.0,0.0544121793064561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0606146038906117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0549760360868339,0.0,0.0,0.0,0.0,0.0,0.0,0.0146602762898223,0.0,0.0,0.0,0.0,1.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1704676546277398,0.0,0.0,0.3513177744254148,0.0,0.0,0.0,0.4782145709468453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2359607151850919,0.2222991689750692,0.0,0.0,0.0,0.0,0.0,0.0,0.1089146310752958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269957189624779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1058297658020649,0.0,0.0,1.0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1211259856959471,0.0,0.0,0.0,0.1156244269209609,0.0,0.0,0.0,0.0,0.0,0.0,0.1565193471483587,0.4054648817164863,0.0,0.0,0.0,0.0562075921511094,0.1009536035209976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441041628461397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070991940403109,0.0078519422200879,0.426029512920014,0.1295246005892201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548857250392597,0.0,0.0,0.0,0.0,0.0,0.0,0.1565975782274078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0875264435244188,0.0,0.0,0.0,0.0,0.1079544717135403,0.0,0.0,0.0,0.02253053172574,0.0,1.0
heating,6,0.0,0.285926476049016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2102209431860378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1488117341255105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3550408466394356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,7,0.0,0.0,0.0783168496742205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1419671365158476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756431222905796,0.0,0.0,0.0,0.0,0.0,0.0,0.704072891519352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,8,0.0,0.0,0.0,0.4976180164573409,0.0,0.1520860401328136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765843799624657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0339252201530244,0.0,0.0,0.0,0.0,0.0,0.0552908907174823,0.1259564024830374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404215389057312,0.0,0.0,0.0,0.0,0.0,0.0181175111881045,1.0
heating,9,0.0020955746394378,0.0,0.0,0.0,0.5468217117968526,0.0,0.0,0.0,0.0,0.0,0.0,0.010929859884127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1534700250647162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2866828286148662,0.0,0.0,0.0,1.0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2416266869927812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586378514101242,0.0,0.0948751289064251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0902569161099403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074160426848406,0.0,0.0,0.0,0.0,0.0,0.0,0.040442989732323,0.0,0.0,0.0,0.0,1.0
cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165440259416313,0.0,0.0,0.4590764529807932,0.0,0.0,0.0,0.3243795210775754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2653590075816859,0.1408705468820156,0.0,0.0,0.0,0.0,0.0,0.0,0.2107734345935267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2522225500635014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1307744608792703,0.0,0.0,1.0
cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1476073721039147,0.0,0.0,0.0,0.1368908234386622,0.0,0.0,0.0,0.0,0.0,0.0,0.254662662883275,0.2964268988126395,0.0,0.0,0.0,0.037080911319871,0.0872475825780324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040083748863605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110068886017347,0.0151716572618505,0.3349199118705203,0.1523766140802648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0867071368145097,0.0,0.0,0.0,0.0,0.0,0.0,0.1613940819381048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080487872900185,0.0,0.0,0.0,0.0,0.1259284738168059,0.0,0.0,0.0,0.0320073627160241,0.0,1.0000000000000002
cooling,6,0.0,0.2666868932038835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2336771844660194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555218446601941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441140776699029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,7,0.0,0.0,0.0856811537393633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286033939275156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1108171231646169,0.0,0.0,0.0,0.0,0.0,0.0,0.6748983291685041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooling,8,0.0,0.0,0.0,0.3238380809595202,0.0,0.2166269806273333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640856042566951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400682011935208,0.0,0.0,0.0,0.0,0.0,0.0947467442749213,0.1329923273657289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1043889819795984,0.0,0.0,0.0,0.0,0.0,0.0232530793426816,1.0
cooling,9,0.00012555828595,0.0,0.0,0.0,0.7509641082671163,0.0,0.0,0.0,0.0,0.0,0.0,0.0220085738372405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0935588599307635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333428996789295,0.0,0.0,0.0,1.0000000000000002
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2522469252601703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3995979186376537,0.0,0.1202696310312204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184957426679281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0480132450331125,0.0,0.0,0.0,0.0,0.0,0.0,0.0613765373699148,0.0,0.0,0.0,0.0,1.0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160397217645982,0.0,0.0,0.3886600768808347,0.0,0.0,0.0,0.4509427054731832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2159656652360515,0.1794678111587982,0.0,0.0,0.0,0.0,0.0,0.0,0.1800858369098712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2641030042918454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1603776824034334,0.0,0.0,1.0
water heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1343786366141973,0.0,0.0,0.0,0.1021620628406933,0.0,0.0,0.0,0.0,0.0,0.0,0.2236785692411343,0.3611196178109879,0.0,0.0,0.0,0.054694677528021,0.0763153059349543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476511300300116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080065550743298,0.0108041671543954,0.3936205080182605,0.1298958211401147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689687463420344,0.0,0.0,0.0,0.0,0.0,0.0,0.1654688048694838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084139061219712,0.0,0.0,0.0,0.0,0.1097155565960435,0.0,0.0,0.0,0.0293807795856256,0.0,1.0
water heating,6,0.0,0.2741857073407875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239507373197212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138834872792092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630286825473991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,7,0.0,0.0,0.0931160984031074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134441087613293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082811825636599,0.0,0.0,0.0,0.0,0.0,0.0,0.6896309883470003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,8,0.0,0.0,0.0,0.4523106546854942,0.0,0.1541078305519897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0973684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547496790757381,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.1150192554557124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489730423620025,0.0,0.0,0.0,0.0,0.0,0.0248395378690629,1.0
water heating,9,0.0081534221405604,0.0,0.0,0.0,0.4444189251263206,0.0,0.0,0.0,0.0,0.0,0.0,0.0660695146225692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1810212831113152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3003368549992344,0.0,0.0,0.0,1.0
cooking,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2395219951506754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4543643921025285,0.0,0.0973328714928992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921371666089366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071657429857984,0.0,0.0,0.0,0.0,0.0,0.0,0.0449861447869761,0.0,0.0,0.0,0.0,1.0
cooking,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083709439878378,0.0,0.0,0.4693809682170174,0.0,0.0,0.0,0.3222480877951446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooking,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26448433744646,0.1388348080615492,0.0,0.0,0.0,0.0,0.0,0.0,0.2140929414450098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2548437772735207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277441357734602,0.0,0.0,1.0
cooking,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150264141983736,0.0,0.0,0.0,0.1348608060782335,0.0,0.0,0.0,0.0,0.0,0.0,0.2602540511663798,0.2883005876417167,0.0,0.0,0.0,0.0363566213569181,0.0898973110939633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400664806790526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cooking,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011782247385488,0.0149519847352122,0.3202894470685143,0.1557133473052019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0931735952537353,0.0,0.0,0.0,0.0,0.0,0.0,0.1629286704828636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784509994056742,0.0,0.0,0.0,0.0,0.1317317818303148,0.0,0.0,0.0,0.0309779265329955,0.0,1.0
cooking,6,0.0,0.256225807556606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2397835097454869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1515431781591477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3524475045387593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
