End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total,AK,HI
heating,1,0.0,0.0,0.0,0.0,0.0,0.2164015620535289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5971044861415373,0.0,0.0169539956186303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485760548623678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999142775502428,0.0,0.0,0.0,0.0,0.0,0.0,0.0210496237736927,0.0,0.0,0.0,0.0,1.0,0,0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2613544528850816,0.0,0.0,0.4636449698676949,0.0,0.0,0.0,0.2750005772472234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857885731539571,0.1184788807998121,0.0,0.0,0.0,0.0,0.0,0.0,0.2403462273962492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2359512866105277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194350320394538,0.0,0.0,1.0,0,0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571952747449436,0.0,0.0,0.0,0.1562108466081976,0.0,0.0,0.0,0.0,0.0,0.0,0.2881689636656524,0.2457043135851083,0.0,0.0,0.0,0.0271165204940039,0.0910596026490066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345444782530875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0266524098055522,0.0280384935250089,0.0542552770187319,0.2482673953506791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1742505247316937,0.0,0.0,0.0,0.0,0.0,0.0,0.1611025305928478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734624371312027,0.0,0.0,0.0,0.0,0.1750821749633677,0.0,0.0,0.0,0.0588887568809156,0.0,1.0,0,0
heating,6,0.2244389027431421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2829464799539612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1440629196240168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485516976788797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,7,0.0,0.0892173683515903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1166688663059258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571422286744973,0.0,0.0,0.0,0.0,0.0,0.0,0.6369715366679864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,8,0.0,0.0,0.1577615043847753,0.0,0.3001988970255854,0.0,0.0,0.0,0.0,0.0,0.0,0.0641894946207395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530693427357381,0.0,0.0,0.0,0.0,0.0,0.1099358105053792,0.1227737094295271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595244552933731,0.0,0.0,0.0,0.0,0.0,0.032546786004882,1.0,0,0
heating,9,0.0,0.0,0.0,0.8373167898366246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0630762005981363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0996070095652388,0.0,0.0,0.0,0.9999999999999998,0,0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.2164015620535289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5971044861415373,0.0,0.0169539956186303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485760548623678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999142775502428,0.0,0.0,0.0,0.0,0.0,0.0,0.0210496237736927,0.0,0.0,0.0,0.0,1.0,0,0
cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2613544528850816,0.0,0.0,0.4636449698676949,0.0,0.0,0.0,0.2750005772472234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooling,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857885731539571,0.1184788807998121,0.0,0.0,0.0,0.0,0.0,0.0,0.2403462273962492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2359512866105277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194350320394538,0.0,0.0,1.0,0,0
cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571952747449436,0.0,0.0,0.0,0.1562108466081976,0.0,0.0,0.0,0.0,0.0,0.0,0.2881689636656524,0.2457043135851083,0.0,0.0,0.0,0.0271165204940039,0.0910596026490066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345444782530875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooling,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0266524098055522,0.0280384935250089,0.0542552770187319,0.2482673953506791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1742505247316937,0.0,0.0,0.0,0.0,0.0,0.0,0.1611025305928478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734624371312027,0.0,0.0,0.0,0.0,0.1750821749633677,0.0,0.0,0.0,0.0588887568809156,0.0,1.0,0,0
cooling,6,0.2244389027431421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2829464799539612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1440629196240168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485516976788797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooling,7,0.0,0.0892173683515903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1166688663059258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571422286744973,0.0,0.0,0.0,0.0,0.0,0.0,0.6369715366679864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooling,8,0.0,0.0,0.1577615043847753,0.0,0.3001988970255854,0.0,0.0,0.0,0.0,0.0,0.0,0.0641894946207395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530693427357381,0.0,0.0,0.0,0.0,0.0,0.1099358105053792,0.1227737094295271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595244552933731,0.0,0.0,0.0,0.0,0.0,0.032546786004882,1.0,0,0
