End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total,AK,HI
heating,1,0.0,0.0,0.0,0.0,0.0,0.150314465408805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1987421383647798,0.0,0.1981132075471697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2628930817610062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327044025157232,0.0,0.0,0.0,0.0,0.0,0.0,0.1572327044025157,0.0,0.0,0.0,0.0,0.9999999999999998,0,0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0764119601328903,0.0,0.0,0.5319767441860465,0.0,0.0,0.0,0.3916112956810631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1371308016877637,0.1390646976090014,0.0,0.0,0.0,0.0,0.0,0.0,0.2967651195499296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180028129395218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2470112517580872,0.0,0.0,0.9999999999999998,0,0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1812712529427151,0.0,0.0,0.0,0.0850117708605806,0.0,0.0,0.0,0.0,0.0,0.0,0.3154590635626471,0.2545121632226,0.0,0.0,0.0,0.0486528904002092,0.0481297410410672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669631179701804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0024759284731774,0.0511691884456671,0.0470426409903713,0.1953232462173315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866574965612104,0.0,0.0,0.0,0.0,0.0,0.0,0.3612104539202201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844566712517194,0.0,0.0,0.0,0.0,0.1353507565337001,0.0,0.0,0.0,0.0363136176066024,0.0,1.0,0,0
heating,6,0.2764094143404488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2074438970990695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158182813355227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003284072249589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,7,0.0,0.168967421314191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508006626173384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2258420762009939,0.0,0.0,0.0,0.0,0.0,0.0,0.5543898398674765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
heating,8,0.0,0.0,0.2,0.0,0.2703583061889251,0.0,0.0,0.0,0.0,0.0,0.0,0.0736156351791531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142671009771987,0.0,0.0,0.0,0.0,0.0,0.1615635179153094,0.0592833876221498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312703583061889,0.0,0.0,0.0,0.0,0.0,0.0612377850162866,1.0000000000000002,0,0
heating,9,0.0,0.0,0.0,0.8010282776349615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344473007712082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645244215938303,0.0,0.0,0.0,1.0000000000000002,0,0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.1693333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1366666666666667,0.0,0.2113333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2586666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0353333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1886666666666666,0.0,0.0,0.0,0.0,1.0000000000000002,0,0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850746268656716,0.0,0.0,0.6223880597014926,0.0,0.0,0.0,0.2925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645651471063692,0.1199482702877465,0.0,0.0,0.0,0.0,0.0,0.0,0.3478823149046233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2431296475913352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1244746201099256,0.0,0.0,1.0,0,0
water heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2392367906066536,0.0,0.0,0.0,0.2152641878669275,0.0,0.0,0.0,0.0,0.0,0.0,0.1663405088062622,0.2407045009784735,0.0,0.0,0.0,0.0293542074363992,0.0518590998043052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0572407045009784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0027691242644513,0.0623052959501557,0.176877812391831,0.1803392177223952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0965732087227414,0.0,0.0,0.0,0.0,0.0,0.0,0.2194530979577708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0557286258220837,0.0,0.0,0.0,0.0,0.1810314987885081,0.0,0.0,0.0,0.0249221183800623,0.0,1.0,0,0
water heating,6,0.1564551422319475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1575492341356674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4420131291028446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2439824945295405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,7,0.0,0.0937114673242909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1117961364570489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1561857788738183,0.0,0.0,0.0,0.0,0.0,0.0,0.6383066173448417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,8,0.0,0.0,0.2682481751824817,0.0,0.2250608272506082,0.0,0.0,0.0,0.0,0.0,0.0,0.0437956204379562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656934306569343,0.0,0.0,0.0,0.0,0.0,0.2354014598540146,0.0626520681265206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066301703163017,0.0,0.0,0.0,0.0,0.0,0.0328467153284671,1.0,0,0
water heating,9,0.0,0.0,0.0,0.7813376051261514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488586303564277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1698037645174209,0.0,0.0,0.0,1.0,0,0
