scenario,description,state(s),building type(s),building vintage(s),fuel type(s),end use(s),tech(s),start year,applicable fraction,fraction notes,,,,,,,,,,,
aggressive,"Emissions standards effectively rule out new sales of fossil-based heating and water heating equipment starting in 2030. Modeled off of CARB policy in California, but expanded to 10 states that are currently actively pursuing similar approaches.

 https://ww2.arb.ca.gov/our-work/programs/building-decarbonization/zero-emission-space-and-water-heater-standards/faq
https://www.usgbc.org/articles/state-power-climate-action",CA,all residential,all,all fossil,"heating, water heating",all,2030,1,,,,,,,,,,,,
reference,"The CO Clean Heat Standard requires gas distribution utilities to cut emissions by 4% by 2025 and by 22% by 2030, with more ambitious cuts to come in later years. Under the CO Clean Heat Standard, those utilities are required to develop cost-effective plans that will achieve meaningful reductions in the emissions that result from delivering fuel to homes and businesses. These plans will then be evaluated by the Colorado Public Utilities Commission.

https://leg.colorado.gov/sites/default/files/2021a_264_signed.pdf",CO,"all residential, all commercial ",all,all fossil,all,all,2025,0.04,,,,,,,,,,,,
reference,"The CO Clean Heat Standard requires gas distribution utilities to cut emissions by 4% by 2025 and by 22% by 2030, with more ambitious cuts to come in later years. Under the CO Clean Heat Standard, those utilities are required to develop cost-effective plans that will achieve meaningful reductions in the emissions that result from delivering fuel to homes and businesses. These plans will then be evaluated by the Colorado Public Utilities Commission.

https://leg.colorado.gov/sites/default/files/2021a_264_signed.pdf",CO,"all residential, all commercial ",all,all fossil,all,all,2030,0.22,,,,,,,,,,,,
aggressive,"The CO Clean Heat Standard requires gas distribution utilities to cut emissions by 4% by 2025 and by 22% by 2030, with more ambitious cuts to come in later years. Under the CO Clean Heat Standard, those utilities are required to develop cost-effective plans that will achieve meaningful reductions in the emissions that result from delivering fuel to homes and businesses. These plans will then be evaluated by the Colorado Public Utilities Commission.

https://leg.colorado.gov/sites/default/files/2021a_264_signed.pdf",CO,"all residential, all commercial ",all,all fossil,all,all,2025,0.04,,,,,,,,,,,,
aggressive,"The CO Clean Heat Standard requires gas distribution utilities to cut emissions by 4% by 2025 and by 22% by 2030, with more ambitious cuts to come in later years. Under the CO Clean Heat Standard, those utilities are required to develop cost-effective plans that will achieve meaningful reductions in the emissions that result from delivering fuel to homes and businesses. These plans will then be evaluated by the Colorado Public Utilities Commission.

https://leg.colorado.gov/sites/default/files/2021a_264_signed.pdf",CO,"all residential, all commercial ",all,all fossil,all,all,2030,0.22,,,,,,,,,,,,
aggressive,"Emissions standards effectively rule out new sales of fossil-based heating and water heating equipment starting in 2030. Modeled off of CARB policy in California, but expanded to other states that are currently actively pursuing similar approaches.

 https://ww2.arb.ca.gov/our-work/programs/building-decarbonization/zero-emission-space-and-water-heater-standards/faq
https://www.usgbc.org/articles/state-power-climate-action","CT, MA, MD, NY, OR, PA, RI, WA",all residential,all,all fossil,"heating, water heating",all,2030,1,,,,,,,,,,,,
aggressive,"Emissions standards effectively rule out new sales of fossil-based heating and water heating equipment starting in 2035. Modeled off of CARB policy in California, but expanded to remaining US Climate Alliance States that have not already pursued the policy by 2030 (see previous row).

 https://ww2.arb.ca.gov/our-work/programs/building-decarbonization/zero-emission-space-and-water-heater-standards/faq
https://www.usgbc.org/articles/state-power-climate-action","AZ, NM, MN, WI, IL, MI, NH, NC, CT, DE, VT, ME, HI, CO",all residential,all,all fossil,"heating, water heating",all,2035,1,,,,,,,,,,,,
reference,"Bay Area Air Quality Management District (BAAQMD) zero-NOx appliance rules. Phases out gas water heaters (2027) and gas furnaces (2029).

https://www.baaqmd.gov/rules-and-compliance/rule-development/building-appliances",CA,all residential,all,natural gas,"heating, water heating",all,2027,0.195,"The Bay Area Air Quality Management District (BAAQMD) covers nine counties in California (Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, southwestern Solano, and southern Sonoma). Bay Area Population: The Metropolitan Transportation Commission (MTC) tracks census data for the 9-county San Francisco Bay Area region, estimating a population of approximately 7.7 million residents (specifically 7.66 million) as of 2025. California Population: The U.S. Census Bureau (via the Federal Reserve Economic Data / FRED tracker) estimates California's total resident population at approximately 39.36 million for 2025.",,,,,,,,,,,
aggressive,"Bay Area Air Quality Management District (BAAQMD) zero-NOx appliance rules. Phases out gas water heaters (2027) and gas furnaces (2029).

https://www.baaqmd.gov/rules-and-compliance/rule-development/building-appliances",CA,all residential,all,natural gas,"heating, water heating",all,2027,0.195,"The Bay Area Air Quality Management District (BAAQMD) covers nine counties in California (Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, southwestern Solano, and southern Sonoma). Bay Area Population: The Metropolitan Transportation Commission (MTC) tracks census data for the 9-county San Francisco Bay Area region, estimating a population of approximately 7.7 million residents (specifically 7.66 million) as of 2025. California Population: The U.S. Census Bureau (via the Federal Reserve Economic Data / FRED tracker) estimates California's total resident population at approximately 39.36 million for 2025.",,,,,,,,,,,
reference,"Seattle’s updated Energy Code (CB 119993 / Ordinance 126279). Note: Explicit natural gas ban provisions were removed and preempted by Initiative 2066, but Initiative 2066 was struck down by the State Supreme Court in September 2026, restoring the strict gas restrictions

https://ballotpedia.org/Washington_Initiative_2066,_Natural_Gas_Policies_Measure_(2024)",WA,"all commercial, multi family home",new,natural gas,"heating, water heating",all,2022,0.316,"Fraction represents King County, Seattle City, all commercial/multifamily buildings over 3 stories, used site_energy",,,,,,,,,,,
