State,Bldg Type,Lag Potential,
AL,residential,0.211993888,
AK,residential,0.444848152,
AZ,residential,0.100063062,
AR,residential,0.404851934,
CA,residential,0,
CO,residential,0.214852616,
CT,residential,0.129022431,
DE,residential,0.069488951,
DC,residential,0.171208677,
FL,residential,0.048381441,
GA,residential,0.231185686,
HI,residential,0.08019964,
ID,residential,0.336333557,
IL,residential,0.075103627,
IN,residential,0.317157875,
IA,residential,0.273525838,
KS,residential,0.210120632,
KY,residential,0.37064683,
LA,residential,0.15145558,
ME,residential,0.169085063,
MD,residential,0.125481828,
MA,residential,0.131378703,
MI,residential,0.284532437,
MN,residential,0.256623259,
MS,residential,0.311486476,
MO,residential,0.221780757,
MT,residential,0.241100405,
NE,residential,0.203661394,
NV,residential,0.206728762,
NH,residential,0.215619805,
NJ,residential,0.131333863,
NM,residential,0.190864856,
NY,residential,0.075446398,
NC,residential,0.27570802,
ND,residential,0.444905223,
OH,residential,0.292473382,
OK,residential,0.40704745,
OR,residential,0.189566452,
PA,residential,0.190547534,
RI,residential,0.065571295,
SC,residential,0.319641547,
SD,residential,0.452710458,
TN,residential,0.337124294,
TX,residential,0.178622764,
UT,residential,0.313766571,
VT,residential,0.075214571,
VA,residential,0.198068341,
WA,residential,0,
WV,residential,0.253894337,
WI,residential,0.418479756,
WY,residential,0.437159596,
AL,commercial,0.276797413,
AK,commercial,0.489851346,
AZ,commercial,0.20767624,
AR,commercial,0.490123055,
CA,commercial,0,
CO,commercial,0.214585895,
CT,commercial,0.177673685,
DE,commercial,0,
DC,commercial,0.156155882,
FL,commercial,0.204606358,
GA,commercial,0.275296029,
HI,commercial,0.214755712,
ID,commercial,0.247588534,
IL,commercial,0,
IN,commercial,0.4547619,
IA,commercial,0.403139513,
KS,commercial,0.378385336,
KY,commercial,0.401023799,
LA,commercial,0.212379596,
ME,commercial,0.178172249,
MD,commercial,0.090738998,
MA,commercial,0.115245701,
MI,commercial,0.13909589,
MN,commercial,0.188767216,
MS,commercial,0.386265932,
MO,commercial,0.292011237,
MT,commercial,0.171033027,
NE,commercial,0.246380734,
NV,commercial,0.237386009,
NH,commercial,0.248173938,
NJ,commercial,0.199001003,
NM,commercial,0.181441794,
NY,commercial,0.007155474,
NC,commercial,0.29220782,
ND,commercial,0.246759526,
OH,commercial,0.218465748,
OK,commercial,0.529236052,
OR,commercial,0.081703029,
PA,commercial,0.122404057,
RI,commercial,0,
SC,commercial,0.461219924,
SD,commercial,0.491757281,
TN,commercial,0.201804676,
TX,commercial,0.276797413,
UT,commercial,0.152563357,
VT,commercial,0.117016968,
VA,commercial,0.095917463,
WA,commercial,0,
WV,commercial,0.276227242,
WI,commercial,0.136822441,
WY,commercial,0.298992432,
,,,
,,,
,,,
