state_abbr,county_name,stock.county,emm2020_county,population,subregion,region
AL,Autauga,G0100010,SRSE,55416,autauga,alabama
AL,Baldwin,G0100030,SRSE,208563,baldwin,alabama
AL,Barbour,G0100050,SRSE,25965,barbour,alabama
AL,Bibb,G0100070,SRSE,22643,bibb,alabama
AL,Blount,G0100090,SRSE,57704,blount,alabama
AL,Bullock,G0100110,SRSE,10362,bullock,alabama
AL,Butler,G0100130,SRSE,19998,butler,alabama
AL,Calhoun,G0100150,SRSE,114611,calhoun,alabama
AL,Chambers,G0100170,SRSE,33843,chambers,alabama
AL,Cherokee,G0100190,SRSE,25725,cherokee,alabama
AL,Chilton,G0100210,SRSE,43941,chilton,alabama
AL,Choctaw,G0100230,SRSE,12993,choctaw,alabama
AL,Clarke,G0100250,SRSE,24392,clarke,alabama
AL,Clay,G0100270,SRSE,13492,clay,alabama
AL,Cleburne,G0100290,SRSE,14924,cleburne,alabama
AL,Coffee,G0100310,SRSE,51226,coffee,alabama
AL,Colbert,G0100330,SRSE,54216,colbert,alabama
AL,Conecuh,G0100350,SRSE,12395,conecuh,alabama
AL,Coosa,G0100370,SRSE,10581,coosa,alabama
AL,Covington,G0100390,SRSE,37458,covington,alabama
AL,Crenshaw,G0100410,SRSE,13913,crenshaw,alabama
AL,Cullman,G0100430,SRSE,82471,cullman,alabama
AL,Dale,G0100450,SRSE,49226,dale,alabama
AL,Dallas,G0100470,SRSE,40008,dallas,alabama
AL,DeKalb,G0100490,SRCE,70900,de kalb,alabama
AL,Elmore,G0100510,SRSE,81799,elmore,alabama
AL,Escambia,G0100530,SRSE,37728,escambia,alabama
AL,Etowah,G0100550,SRSE,102564,etowah,alabama
AL,Fayette,G0100570,SRSE,16546,fayette,alabama
AL,Franklin,G0100590,SRSE,31628,franklin,alabama
AL,Geneva,G0100610,SRSE,26614,geneva,alabama
AL,Greene,G0100630,SRSE,8422,greene,alabama
AL,Hale,G0100650,SRSE,14952,hale,alabama
AL,Henry,G0100670,SRSE,17164,henry,alabama
AL,Houston,G0100690,SRSE,104056,houston,alabama
AL,Jackson,G0100710,SRCE,52138,jackson,alabama
AL,Jefferson,G0100730,SRSE,659521,jefferson,alabama
AL,Lamar,G0100750,SRSE,13918,lamar,alabama
AL,Lauderdale,G0100770,SRCE,92318,lauderdale,alabama
AL,Lawrence,G0100790,SRSE,33244,lawrence,alabama
AL,Lee,G0100810,SRSE,158991,lee,alabama
AL,Limestone,G0100830,SRCE,92753,limestone,alabama
AL,Lowndes,G0100850,SRSE,10358,lowndes,alabama
AL,Macon,G0100870,SRSE,18963,macon,alabama
AL,Madison,G0100890,SRCE,356967,madison,alabama
AL,Marengo,G0100910,SRSE,19673,marengo,alabama
AL,Marion,G0100930,SRSE,29998,marion,alabama
AL,Marshall,G0100950,SRSE,95157,marshall,alabama
AL,Mobile,G0100970,SRSE,414836,mobile,alabama
AL,Monroe,G0100990,SRSE,21530,monroe,alabama
AL,Montgomery,G0101010,SRSE,226349,montgomery,alabama
AL,Morgan,G0101030,SRCE,119012,morgan,alabama
AL,Perry,G0101050,SRSE,9574,perry,alabama
AL,Pickens,G0101070,SRSE,20324,pickens,alabama
AL,Pike,G0101090,SRSE,33286,pike,alabama
AL,Randolph,G0101110,SRSE,22652,randolph,alabama
AL,Russell,G0101130,SRSE,58172,russell,alabama
AL,Shelby,G0101170,SRSE,210622,shelby,alabama
AL,St. Clair,G0101150,SRSE,88019,st clair,alabama
AL,Sumter,G0101190,SRSE,13040,sumter,alabama
AL,Talladega,G0101210,SRSE,80103,talladega,alabama
AL,Tallapoosa,G0101230,SRSE,40727,tallapoosa,alabama
AL,Tuscaloosa,G0101250,SRSE,206102,tuscaloosa,alabama
AL,Walker,G0101270,SRSE,64967,walker,alabama
AL,Washington,G0101290,SRSE,16756,washington,alabama
AL,Wilcox,G0101310,SRSE,10986,wilcox,alabama
AL,Winston,G0101330,SRSE,23805,winston,alabama
AR,Arkansas,G0500010,MISS,18214,arkansas,arkansas
AR,Ashley,G0500030,MISS,20492,ashley,arkansas
AR,Baxter,G0500050,MISS,41062,baxter,arkansas
AR,Benton,G0500070,SPPS,258291,benton,arkansas
