county_name,state,cambium_ba,fips_code,cdiv,aia,population,emm_pre2020,ASHRAE,countryns,emm2020_county,emm2020_ba
Autauga,AL,90,1001,6,5,55416,SRSE,3A,161526,SRSE,SRSE
Baldwin,AL,90,1003,6,5,208563,SRSE,2A,161527,SRSE,SRSE
Barbour,AL,90,1005,6,5,25965,SRSE,3A,161528,SRSE,SRSE
Bibb,AL,89,1007,6,4,22643,SRSE,3A,161529,SRSE,SRSE
Blount,AL,90,1009,6,4,57704,SRSE,3A,161530,SRSE,SRSE
Bullock,AL,90,1011,6,5,10362,SRSE,3A,161531,SRSE,SRSE
Butler,AL,90,1013,6,5,19998,SRSE,3A,161532,SRSE,SRSE
Calhoun,AL,90,1015,6,4,114611,SRSE,3A,161533,SRSE,SRSE
Chambers,AL,90,1017,6,4,33843,SRSE,3A,161534,SRSE,SRSE
Cherokee,AL,90,1019,6,4,25725,SRSE,3A,161535,SRSE,SRSE
Chilton,AL,90,1021,6,4,43941,SRSE,3A,161536,SRSE,SRSE
Choctaw,AL,89,1023,6,4,12993,SRSE,3A,161537,SRSE,SRSE
Clarke,AL,90,1025,6,5,24392,SRSE,3A,161538,SRSE,SRSE
Clay,AL,90,1027,6,4,13492,SRSE,3A,161539,SRSE,SRSE
Cleburne,AL,90,1029,6,4,14924,SRSE,3A,161540,SRSE,SRSE
Coffee,AL,90,1031,6,5,51226,SRSE,3A,161541,SRSE,SRSE
Colbert,AL,89,1033,6,4,54216,SRSE,3A,161542,SRSE,SRSE
Conecuh,AL,90,1035,6,5,12395,SRSE,3A,161543,SRSE,SRSE
Coosa,AL,90,1037,6,4,10581,SRSE,3A,161544,SRSE,SRSE
Covington,AL,90,1039,6,4,37458,SRSE,3A,161545,SRSE,SRSE
Crenshaw,AL,90,1041,6,4,13913,SRSE,3A,161546,SRSE,SRSE
Cullman,AL,89,1043,6,4,82471,SRSE,3A,161547,SRSE,SRSE
Dale,AL,90,1045,6,5,49226,SRSE,3A,161548,SRSE,SRSE
Dallas,AL,90,1047,6,5,40008,SRSE,3A,161549,SRSE,SRSE
DeKalb,AL,89,1049,6,4,70900,SRSE,3A,161550,SRCE,SRSE
Elmore,AL,90,1051,6,4,81799,SRSE,3A,161551,SRSE,SRSE
Escambia,AL,90,1053,6,5,37728,SRSE,3A,161552,SRSE,SRSE
Etowah,AL,90,1055,6,4,102564,SRSE,3A,161553,SRSE,SRSE
Fayette,AL,89,1057,6,4,16546,SRSE,3A,161554,SRSE,SRSE
Franklin,AL,89,1059,6,4,31628,SRSE,3A,161555,SRSE,SRSE
Geneva,AL,90,1061,6,5,26614,SRSE,3A,161556,SRSE,SRSE
Greene,AL,89,1063,6,4,8422,SRSE,3A,161557,SRSE,SRSE
Hale,AL,89,1065,6,5,14952,SRSE,3A,161558,SRSE,SRSE
Henry,AL,90,1067,6,5,17164,SRSE,3A,161559,SRSE,SRSE
Houston,AL,90,1069,6,5,104056,SRSE,3A,161560,SRSE,SRSE
Jackson,AL,89,1071,6,4,52138,SRSE,3A,161561,SRCE,SRSE
Jefferson,AL,89,1073,6,4,659521,SRSE,3A,161562,SRSE,SRSE
Lamar,AL,89,1075,6,4,13918,SRSE,3A,161563,SRSE,SRSE
Lauderdale,AL,89,1077,6,4,92318,SRCE,3A,161564,SRCE,SRSE
Lawrence,AL,89,1079,6,4,33244,SRSE,3A,161565,SRSE,SRSE
Lee,AL,90,1081,6,4,158991,SRSE,3A,161566,SRSE,SRSE
Limestone,AL,89,1083,6,4,92753,SRCE,3A,161567,SRCE,SRSE
Lowndes,AL,90,1085,6,5,10358,SRSE,3A,161568,SRSE,SRSE
Macon,AL,90,1087,6,4,18963,SRSE,3A,161569,SRSE,SRSE
Madison,AL,89,1089,6,4,356967,SRCE,3A,161570,SRCE,SRSE
Marengo,AL,89,1091,6,5,19673,SRSE,3A,161572,SRSE,SRSE
Marion,AL,89,1093,6,4,29998,SRSE,3A,161573,SRSE,SRSE
Marshall,AL,89,1095,6,4,95157,SRSE,3A,161574,SRSE,SRSE
Mobile,AL,90,1097,6,5,414836,SRSE,2A,161575,SRSE,SRSE
Monroe,AL,90,1099,6,5,21530,SRSE,3A,161576,SRSE,SRSE
Montgomery,AL,90,1101,6,5,226349,SRSE,3A,161577,SRSE,SRSE
Morgan,AL,89,1103,6,4,119012,SRCE,3A,161578,SRCE,SRSE
Perry,AL,89,1105,6,4,9574,SRSE,3A,161579,SRSE,SRSE
Pickens,AL,89,1107,6,4,20324,SRSE,3A,161580,SRSE,SRSE
Pike,AL,90,1109,6,5,33286,SRSE,3A,161581,SRSE,SRSE
Randolph,AL,90,1111,6,4,22652,SRSE,3A,161582,SRSE,SRSE
Russell,AL,90,1113,6,5,58172,SRSE,3A,161583,SRSE,SRSE
St. Clair,AL,90,1115,6,4,88019,SRSE,3A,164997,SRSE,SRSE
Shelby,AL,89,1117,6,4,210622,SRSE,3A,161584,SRSE,SRSE
Sumter,AL,89,1119,6,4,13040,SRSE,3A,161585,SRSE,SRSE
Talladega,AL,90,1121,6,4,80103,SRSE,3A,161586,SRSE,SRSE
Tallapoosa,AL,90,1123,6,4,40727,SRSE,3A,161587,SRSE,SRSE
Tuscaloosa,AL,89,1125,6,4,206102,SRSE,3A,161588,SRSE,SRSE
Walker,AL,89,1127,6,4,64967,SRSE,3A,161589,SRSE,SRSE
Washington,AL,90,1129,6,5,16756,SRSE,3A,161590,SRSE,SRSE
Wilcox,AL,89,1131,6,5,10986,SRSE,3A,161591,SRSE,SRSE
