EMMReg,Year,Overall-PeakMonth,Summer-PeakMonth,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr,Summer-TakeEndHr,Winter-PeakMonth,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr,Winter-TakeEndHr,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr,Inter-TakeEndHr
1,2025,8,8,19,5,18,21,4,7,2,19,15,18,21,14,17,18,11,17,20,10,13
2,2025,8,8,18,5,17,20,4,7,3,19,4,18,21,3,6,18,5,17,20,4,7
3,2025,7,7,18,4,17,20,3,6,2,10,4,9,12,3,6,19,4,18,21,3,6
4,2025,7,7,19,4,18,21,3,6,2,8,16,7,10,15,18,19,4,18,21,3,6
5,2025,7,7,17,4,16,19,3,6,1,11,5,10,13,4,7,18,4,17,20,3,6
6,2025,8,8,18,5,17,20,4,7,2,20,3,19,22,2,5,18,5,17,20,4,7
7,2025,7,7,15,4,14,17,3,6,1,11,3,10,13,2,5,18,3,17,20,2,5
8,2025,7,7,16,5,15,18,4,7,2,12,3,11,14,2,5,16,4,15,18,3,6
9,2025,7,7,18,5,17,20,4,7,2,19,3,18,21,2,5,19,4,18,21,3,6
10,2025,7,7,18,5,17,20,4,7,1,8,3,7,10,2,5,17,4,16,19,3,6
11,2025,7,7,19,5,18,21,4,7,1,8,3,7,10,2,5,18,4,17,20,3,6
12,2025,8,8,17,5,16,19,4,7,1,11,4,10,13,3,6,16,5,15,18,4,7
13,2025,8,8,19,5,18,21,4,7,1,8,14,7,10,13,16,19,4,18,21,3,6
14,2025,7,7,19,5,18,21,4,7,1,8,15,7,10,14,17,18,5,17,20,4,7
15,2025,7,7,17,4,16,19,3,6,1,7,15,6,9,14,17,18,4,17,20,3,6
16,2025,7,7,17,4,16,19,3,6,12,8,15,7,10,14,17,17,4,16,19,3,6
17,2025,8,8,15,5,14,17,4,7,2,11,24,10,13,23,2,15,4,14,17,3,6
18,2025,7,7,16,5,15,18,4,7,2,11,3,10,13,2,5,17,4,16,19,3,6
19,2025,7,7,14,5,13,16,4,7,2,11,3,10,13,2,5,11,2,10,13,1,4
20,2025,7,7,18,4,17,20,3,6,1,8,14,7,10,13,16,19,10,18,21,9,12
21,2025,8,8,19,5,18,21,4,7,12,19,4,18,21,3,6,19,12,18,21,11,14
22,2025,9,9,18,10,17,20,9,12,12,19,12,18,21,11,14,18,10,17,20,9,12
23,2025,8,8,15,4,14,17,3,6,2,11,2,10,13,1,4,11,2,10,13,1,4
24,2025,7,7,17,5,16,19,4,7,2,19,3,18,21,2,5,18,3,17,20,2,5
25,2025,7,7,19,10,18,21,9,12,2,19,13,18,21,12,15,19,11,18,21,10,13
1,2030,8,8,19,11,18,21,10,13,2,19,15,18,21,14,17,19,11,18,21,10,13
2,2030,8,8,19,11,18,21,10,13,3,19,10,18,21,9,12,19,11,18,21,10,13
3,2030,7,7,19,4,18,21,3,6,2,8,14,7,10,13,16,19,4,18,21,3,6
4,2030,7,7,19,4,18,21,3,6,2,8,15,7,10,14,17,19,4,18,21,3,6
5,2030,7,7,19,4,18,21,3,6,2,19,15,18,21,14,17,19,4,18,21,3,6
6,2030,8,8,18,8,17,20,7,10,2,20,14,19,22,13,16,18,5,17,20,4,7
7,2030,7,7,14,4,13,16,3,6,1,11,3,10,13,2,5,18,3,17,20,2,5
8,2030,7,7,18,5,17,20,4,7,2,19,3,18,21,2,5,18,4,17,20,3,6
9,2030,7,7,19,5,18,21,4,7,2,19,13,18,21,12,15,19,11,18,21,10,13
10,2030,7,7,19,5,18,21,4,7,2,19,14,18,21,13,16,18,4,17,20,3,6
11,2030,7,7,19,5,18,21,4,7,1,8,14,7,10,13,16,19,4,18,21,3,6
