EMMReg,Year,Overall-PeakMonth,Summer-PeakMonth,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr,Summer-TakeEndHr,Winter-PeakMonth,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr,Winter-TakeEndHr,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr,Inter-TakeEndHr
1,2025,8,8,17,5,16,19,4,7,1,10,3,9,12,2,5,17,4,16,19,3,6
2,2025,8,8,16,5,15,18,4,7,3,17,5,16,19,4,7,17,4,16,19,3,6
3,2025,7,7,16,4,15,18,3,6,1,10,4,9,12,3,6,16,4,15,18,3,6
4,2025,7,7,16,4,15,18,3,6,1,9,2,8,11,1,4,16,4,15,18,3,6
5,2025,7,7,15,4,14,17,3,6,1,11,5,10,13,4,7,15,3,14,17,2,5
6,2025,8,8,16,5,15,18,4,7,12,9,3,8,11,2,5,16,4,15,18,3,6
7,2025,7,7,14,4,13,16,3,6,2,11,3,10,13,2,5,14,3,13,16,2,5
8,2025,7,7,14,4,13,16,3,6,2,12,4,11,14,3,6,15,4,14,17,3,6
9,2025,7,7,14,4,13,16,3,6,1,19,3,18,21,2,5,16,4,15,18,3,6
10,2025,7,7,16,4,15,18,3,6,1,8,2,7,10,1,4,17,4,16,19,3,6
11,2025,7,7,17,4,16,19,3,6,1,9,2,8,11,1,4,17,4,16,19,3,6
12,2025,8,8,17,5,16,19,4,7,1,19,3,18,21,2,5,16,4,15,18,3,6
13,2025,8,8,15,4,14,17,3,6,1,8,17,7,10,16,19,16,4,15,18,3,6
14,2025,7,7,16,5,15,18,4,7,1,8,17,7,10,16,19,17,3,16,19,2,5
15,2025,7,7,16,4,15,18,3,6,1,8,1,7,10,24,3,16,3,15,18,2,5
16,2025,7,7,16,4,15,18,3,6,12,8,16,7,10,15,18,16,4,15,18,3,6
17,2025,7,7,16,5,15,18,4,7,2,11,2,10,13,1,4,16,5,15,18,4,7
18,2025,7,7,16,5,15,18,4,7,2,9,2,8,11,1,4,17,4,16,19,3,6
19,2025,7,7,16,4,15,18,3,6,2,9,2,8,11,1,4,17,4,16,19,3,6
20,2025,7,7,15,5,14,17,4,7,1,11,3,10,13,2,5,15,3,14,17,2,5
21,2025,8,8,16,5,15,18,4,7,12,11,3,10,13,2,5,15,4,14,17,3,6
22,2025,9,9,15,5,14,17,4,7,12,11,4,10,13,3,6,15,4,14,17,3,6
