Region,WinterPeakDay,WinterPeakDate,WinterPeakLoad,WinterPeakAtWindowBoundary,SummerPeakDay,SummerPeakDate,SummerPeakLoad,SummerPeakAtWindowBoundary
BASN,51,Feb 20,8141371.062529572,False,208,Jul 27,12846402.466973314,False
CANO,51,Feb 20,10189921.692945248,False,174,Jun 23,14016203.285810947,False
CASO,29,Jan 29,11592549.96769493,True,187,Jul 6,22653736.371518925,False
FRCC,18,Jan 18,34071005.285896555,False,259,Sep 16,30261375.372465022,False
ISNE,5,Jan 5,14920208.415499883,False,241,Aug 29,14817968.171856998,False
MISC,1,Jan 1,33063962.84407983,False,169,Jun 18,22339180.311200142,False
MISE,5,Jan 5,11883233.16584656,False,186,Jul 5,13382116.155959949,False
MISS,17,Jan 17,24385550.06453687,False,201,Jul 20,17735038.486331854,False
MISW,1,Jan 1,22295244.84736698,False,180,Jun 29,18087512.256463956,False
NWPP,54,Feb 23,25456916.193939656,False,221,Aug 9,16129710.254185712,False
NYCW,6,Jan 6,7158523.510849919,False,241,Aug 29,8514639.404329753,False
NYUP,6,Jan 6,7979938.601726729,False,183,Jul 2,7002153.5123725,False
PJMC,1,Jan 1,9015291.195736133,False,169,Jun 18,10346224.344400488,False
PJMD,7,Jan 7,34415325.48335665,False,184,Jul 3,27468640.184615374,False
PJME,5,Jan 5,33284686.54064928,False,241,Aug 29,29722337.452240847,False
PJMW,2,Jan 2,53463470.5987913,False,169,Jun 18,38609614.81928647,False
RMRG,51,Feb 20,7160302.209814232,False,179,Jun 28,6115510.111237366,False
SPPC,1,Jan 1,17881895.62901831,False,179,Jun 28,15697387.881524922,False
SPPN,1,Jan 1,11927303.208209274,False,192,Jul 11,6171945.279430385,False
SPPS,17,Jan 17,18828565.76638615,False,201,Jul 20,18347693.93992186,False
SRCA,2,Jan 2,44622274.00529659,False,184,Jul 3,28082718.19189639,False
SRCE,2,Jan 2,43731990.94972073,False,185,Jul 4,24804978.910325926,False
SRSE,2,Jan 2,40270430.542625956,False,262,Sep 19,29968650.11421433,False
SRSG,90,Mar 31,9911183.716861064,True,205,Jul 24,20673435.384496927,False
TRE,17,Jan 17,54031279.698543906,False,201,Jul 20,51233044.89408871,False
