Region,WinterPeakDay,WinterPeakDate,WinterPeakLoad,WinterPeakAtWindowBoundary,SummerPeakDay,SummerPeakDate,SummerPeakLoad,SummerPeakAtWindowBoundary
AL,17,Jan 17,15555235.090874048,False,258,Sep 15,10439271.470824726,False
AR,17,Jan 17,11438767.706091117,False,179,Jun 28,8749633.705180332,False
AZ,90,Mar 31,7972522.692412786,True,205,Jul 24,16840480.225646064,False
CA,51,Feb 20,20745760.657803062,True,187,Jul 6,35494264.07749175,False
CO,51,Feb 20,6579707.1467790585,False,179,Jun 28,5852662.549133717,False
CT,5,Jan 5,4598273.347676089,False,241,Aug 29,4762087.550277678,False
DC,5,Jan 5,7067903.300725224,False,184,Jul 3,7966438.197528889,False
DE,7,Jan 7,1565583.3579359776,False,241,Aug 29,1226910.5825272868,False
FL,18,Jan 18,37030759.40489367,False,259,Sep 16,31927577.014661558,False
GA,2,Jan 2,26529596.44016139,False,192,Jul 11,20771444.29921264,False
IA,1,Jan 1,9084864.914768092,False,180,Jun 29,7361915.499532276,False
ID,51,Feb 20,3645373.6358717093,False,222,Aug 10,2814481.845573065,False
IL,1,Jan 1,16790360.735263087,False,169,Jun 18,15371688.023303334,False
IN,2,Jan 2,21199991.35801646,False,169,Jun 18,16278051.114854535,False
KS,1,Jan 1,8534382.641158346,False,179,Jun 28,8645509.493868023,False
KY,2,Jan 2,15407447.182277659,False,185,Jul 4,7490867.16288426,False
LA,17,Jan 17,16682019.84496048,False,201,Jul 20,14018628.047628496,False
MA,5,Jan 5,6359243.182973519,False,241,Aug 29,6187532.592316939,False
MD,7,Jan 7,11279109.846752912,False,183,Jul 2,7936345.64101253,False
ME,6,Jan 6,1441043.619150856,False,185,Jul 4,1153443.89853005,False
MI,5,Jan 5,16059636.748423815,False,185,Jul 4,16486251.71258622,False
MN,1,Jan 1,7836718.791754439,False,180,Jun 29,5940105.773998139,False
MO,1,Jan 1,18801377.64369982,False,194,Jul 13,12636465.910144318,False
MS,17,Jan 17,9665875.127738362,False,262,Sep 19,7195866.609047972,False
MT,51,Feb 20,1596110.0188703302,False,222,Aug 10,1028223.4953343512,False
NC,7,Jan 7,34886856.56585812,False,184,Jul 3,21598252.741929635,False
ND,15,Jan 15,2429025.1305784397,False,224,Aug 12,1017845.6599536577,False
NE,1,Jan 1,5128082.559996557,False,166,Jun 15,2841870.575808309,False
NH,5,Jan 5,1420279.2035912476,False,241,Aug 29,1543097.2179298513,False
NJ,5,Jan 5,9457896.008835526,False,241,Aug 29,11984999.811893446,False
NM,1,Jan 1,2592819.2226534523,False,178,Jun 27,3584144.071145156,False
NV,89,Mar 30,2585101.5901498143,True,206,Jul 25,6155079.019621793,False
NY,6,Jan 6,14923092.083430529,False,241,Aug 29,15296437.977580793,False
OH,2,Jan 2,25242595.423370063,False,169,Jun 18,20074415.015150644,False
OK,1,Jan 1,9698231.49603856,False,201,Jul 20,10482956.37438216,False
OR,54,Feb 23,8848388.007141456,False,221,Aug 9,6584349.662083611,False
PA,5,Jan 5,17451240.165379584,False,183,Jul 2,13747498.505717743,False
RI,5,Jan 5,798922.954023034,False,241,Aug 29,842563.8307946379,False
SC,2,Jan 2,13911430.863676751,False,192,Jul 11,8777773.744732369,False
SD,1,Jan 1,2583919.821612839,False,192,Jul 11,1404692.2764181825,False
TN,2,Jan 2,22881587.392397672,False,185,Jul 4,13739150.544975735,False
TX,17,Jan 17,57963482.34614493,False,201,Jul 20,54075747.756238654,False
UT,52,Feb 21,2457979.229378867,True,187,Jul 6,3954353.3401221954,False
VA,7,Jan 7,28308009.675136335,False,183,Jul 2,16139452.27644388,False
VT,5,Jan 5,770287.1036758497,False,186,Jul 5,782549.939470074,False
WA,52,Feb 21,14243340.921584211,False,221,Aug 9,7999012.350462945,False
WI,1,Jan 1,6789761.030110359,False,180,Jun 29,6045267.304214794,False
WV,7,Jan 7,5421844.971917362,False,247,Sep 4,2286707.235231885,False
WY,51,Feb 20,995562.7375242804,False,191,Jul 10,657779.7121168501,False
